from	to	sign
v_Apoptosis_	v_Apoptosis_	a
v_Caspase	v_Apoptosis_	a
v_Apoptosis_	v_BID_	i
v_MCL1	v_BID_	i
v_Apoptosis_	v_CREB	i
v_IFNG_	v_CREB	a
v_TCR	v_CTLA4_	a
v_Apoptosis_	v_CTLA4_	i
v_Apoptosis_	v_Caspase	i
v_BID_	v_Caspase	a
v_IAP_	v_Caspase	i
v_DISC_	v_Caspase	a
v_Fas	v_Ceramide_	a
v_Apoptosis_	v_Ceramide_	i
v_S1P	v_Ceramide_	i
v_Fas	v_DISC_	a
v_Apoptosis_	v_DISC_	i
v_Ceramide_	v_DISC_	a
v_FLIP_	v_DISC_	i
v_Apoptosis_	v_FLIP_	i
v_DISC_	v_FLIP_	i
v_Apoptosis_	v_Fas	i
v_sFas	v_Fas	i
v_Apoptosis_	v_GPCR_	i
v_S1P	v_GPCR_	a
v_Apoptosis_	v_IAP_	i
v_BID_	v_IAP_	i
v_Apoptosis_	v_IFNG_	i
v_P2	v_IFNG_	i
v_SMAD_	v_IFNG_	i
v_Apoptosis_	v_MCL1	i
v_DISC_	v_MCL1	i
v_Apoptosis_	v_P2	i
v_IFNG_	v_P2	a
v_P2	v_P2	a
v_Apoptosis_	v_S1P	i
v_Ceramide_	v_S1P	i
v_Apoptosis_	v_SMAD_	i
v_GPCR_	v_SMAD_	a
v_Apoptosis_	v_TCR	i
v_CTLA4_	v_TCR	i
v_Apoptosis_	v_sFas	i
v_S1P	v_sFas	a
