from	to	sign
v_NF_kB	v_AID	a
v_Pax5	v_AID	a
v_Blimp1	v_AID	i
v_STAT6	v_AID	a
v_Ag	v_BCR	a
v_Pax5	v_Bach2	a
v_Blimp1	v_Bach2	i
v_Bcl6	v_Bcl6	a
v_Blimp1	v_Bcl6	i
v_ERK	v_Bcl6	i
v_Irf4	v_Bcl6	i
v_Pax5	v_Bcl6	a
v_STAT5	v_Bcl6	a
v_STAT6	v_Bcl6	a
v_Bach2	v_Blimp1	i
v_Bcl6	v_Blimp1	i
v_ERK	v_Blimp1	a
v_Irf4	v_Blimp1	a
v_Pax5	v_Blimp1	i
v_STAT3	v_Blimp1	a
v_CD40L	v_CD40	a
v_BCR	v_ERK	a
v_IL_21	v_IL_21R	a
v_IL_2	v_IL_2R	a
v_IL_4	v_IL_4R	a
v_NF_kB	v_Irf4	a
v_Irf4	v_Irf4	a
v_Bcl6	v_Irf4	i
v_Blimp1	v_Irf4	a
v_CD40	v_NF_kB	a
v_Irf4	v_Pax5	i
v_Pax5	v_Pax5	a
v_Blimp1	v_Pax5	i
v_ERK	v_Pax5	i
v_IL_21R	v_STAT3	a
v_IL_2R	v_STAT5	a
v_IL_4R	v_STAT6	a
v_Blimp1	v_XBP1	a
v_Pax5	v_XBP1	i
v_IL_21	v_IL_21	a
v_IL_2	v_IL_2	a
v_CD40L	v_CD40L	a
v_IL_4	v_IL_4	a
v_Ag	v_Ag	a
