Network_no	Model_no	func_type	model
0	0	scNCF	[162, 93, 8, 220, 14, 112, 14, 168, 239, 13, 205, 205, 117, 138, 47, 7]
1	0	scNCF	[1, 87, 55, 205, 127, 1, 87, 7, 7, 1, 55, 31, 19, 1, 87, 31]
2	0	scNCF	[186, 191, 31, 49, 171, 11, 242, 16, 162, 13, 55, 247, 35, 7, 47, 127]
3	0	scNCF	[2, 2, 174, 253, 205, 248, 8, 84, 31, 168, 236, 19, 87, 69, 196, 138]
4	0	scNCF	[127, 171, 234, 179, 171, 50, 143, 196, 47, 213, 254, 84, 8, 186, 239, 11]
5	0	scNCF	[14, 234, 128, 8, 128, 248, 128, 234, 236, 200, 236, 50, 8, 168, 200, 254]
6	0	scNCF	[138, 59, 176, 224, 223, 42, 64, 21, 168, 14, 224, 236, 79, 32, 191, 13]
7	0	scNCF	[21, 19, 87, 50, 87, 140, 31, 21, 31, 19, 31, 7, 11, 87, 7, 247]
8	0	scNCF	[176, 162, 244, 176, 236, 128, 248, 35, 239, 128, 234, 241, 35, 138, 112, 205]
9	0	scNCF	[168, 208, 115, 224, 223, 84, 138, 234, 84, 244, 206, 8, 16, 168, 76, 8]
10	0	scNCF	[2, 19, 7, 115, 174, 31, 1, 31, 55, 55, 16, 35, 162, 13, 47, 242]
11	0	scNCF	[32, 7, 87, 4, 21, 19, 234, 4, 224, 47, 11, 50, 79, 251, 64, 13]
12	0	scNCF	[224, 69, 174, 19, 8, 234, 127, 14, 2, 59, 205, 179, 1, 223, 84, 31]
13	0	scNCF	[115, 1, 31, 16, 69, 1, 1, 13, 42, 93, 127, 31, 31, 7, 127, 1]
14	0	scNCF	[32, 248, 191, 234, 76, 174, 242, 143, 35, 223, 179, 143, 213, 241, 84, 128]
15	0	scNCF	[21, 21, 93, 59, 19, 1, 1, 79, 19, 87, 253, 69, 223, 1, 79, 76]
16	0	scNCF	[239, 234, 168, 128, 234, 84, 168, 236, 254, 254, 254, 234, 234, 239, 254, 200]
17	0	scNCF	[242, 7, 81, 47, 79, 244, 21, 7, 247, 179, 127, 21, 117, 1, 55, 112]
18	0	scNCF	[84, 224, 234, 254, 254, 168, 206, 162, 254, 206, 234, 223, 208, 64, 138, 4]
19	0	scNCF	[128, 248, 49, 128, 49, 140, 168, 239, 254, 224, 248, 50, 168, 254, 128, 55]
20	0	scNCF	[32, 32, 19, 84, 79, 205, 49, 8, 31, 251, 239, 69, 254, 49, 224, 196]
21	0	scNCF	[55, 7, 69, 35, 19, 55, 31, 7, 127, 31, 87, 87, 1, 213, 31, 19]
22	0	scNCF	[234, 253, 168, 128, 168, 168, 213, 128, 50, 248, 162, 244, 236, 14, 254, 168]
23	0	scNCF	[31, 4, 47, 31, 7, 31, 2, 69, 127, 7, 127, 127, 55, 7, 19, 223]
24	0	scNCF	[244, 11, 224, 223, 84, 251, 251, 11, 138, 14, 236, 87, 13, 205, 251, 42]
25	0	scNCF	[143, 35, 140, 81, 254, 31, 253, 21, 21, 220, 143, 191, 234, 251, 93, 7]
26	0	scNCF	[42, 205, 19, 7, 47, 42, 223, 55, 213, 223, 241, 31, 213, 13, 59, 21]
27	0	scNCF	[247, 248, 242, 168, 128, 242, 234, 117, 168, 128, 234, 254, 234, 81, 186, 241]
28	0	scNCF	[21, 69, 21, 176, 7, 14, 47, 1, 112, 21, 127, 87, 55, 55, 205, 7]
29	0	scNCF	[42, 7, 127, 87, 21, 87, 127, 1, 93, 171, 7, 55, 87, 7, 19, 69]
30	0	scNCF	[117, 11, 223, 31, 205, 171, 205, 19, 19, 21, 127, 16, 2, 205, 242, 59]
31	0	scNCF	[143, 84, 69, 234, 200, 254, 242, 200, 234, 224, 241, 84, 16, 168, 14, 220]
32	0	scNCF	[79, 7, 234, 224, 13, 14, 47, 254, 234, 244, 224, 234, 168, 248, 244, 224]
33	0	scNCF	[176, 138, 2, 14, 143, 220, 213, 224, 196, 64, 176, 16, 143, 117, 115, 206]
34	0	scNCF	[1, 42, 13, 127, 254, 2, 19, 191, 4, 241, 223, 253, 59, 171, 16, 31]
35	0	scNCF	[7, 69, 117, 87, 21, 49, 16, 117, 7, 138, 69, 191, 115, 253, 2, 42]
36	0	scNCF	[115, 81, 64, 7, 206, 13, 19, 21, 55, 127, 79, 138, 11, 191, 55, 13]
37	0	scNCF	[1, 21, 7, 55, 87, 127, 31, 205, 7, 174, 11, 21, 55, 93, 21, 171]
38	0	scNCF	[11, 47, 7, 1, 76, 31, 1, 31, 87, 21, 11, 55, 81, 174, 191, 19]
39	0	scNCF	[241, 115, 16, 55, 191, 76, 7, 127, 253, 32, 171, 127, 19, 31, 1, 93]
40	0	scNCF	[21, 87, 7, 87, 55, 13, 127, 1, 19, 31, 87, 21, 31, 31, 19, 21]
41	0	scNCF	[31, 11, 7, 79, 55, 31, 55, 191, 79, 21, 1, 1, 59, 31, 81, 21]
42	0	scNCF	[7, 55, 1, 35, 7, 19, 31, 7, 1, 127, 55, 1, 55, 7, 7, 7]
43	0	scNCF	[112, 79, 223, 2, 117, 79, 79, 31, 1, 19, 162, 254, 79, 93, 84, 19]
44	0	scNCF	[242, 32, 244, 179, 128, 138, 176, 16, 143, 14, 128, 206, 220, 248, 138, 11]
45	0	scNCF	[21, 115, 47, 1, 87, 87, 162, 4, 11, 191, 127, 55, 87, 7, 241, 174]
46	0	scNCF	[162, 7, 220, 55, 143, 206, 115, 171, 59, 112, 11, 223, 251, 241, 115, 242]
47	0	scNCF	[236, 220, 168, 16, 84, 196, 236, 253, 42, 234, 234, 93, 115, 76, 242, 140]
48	0	scNCF	[7, 19, 31, 59, 55, 55, 59, 171, 1, 2, 64, 112, 174, 234, 49, 143]
49	0	scNCF	[1, 21, 35, 1, 19, 31, 55, 93, 32, 64, 127, 1, 7, 47, 31, 87]
50	0	scNCF	[1, 1, 87, 19, 55, 191, 31, 127, 59, 31, 11, 127, 21, 55, 241, 127]
51	0	scNCF	[254, 220, 69, 143, 241, 79, 35, 251, 205, 49, 224, 236, 31, 205, 176, 213]
