Network_no	Model_no	func_type	model
0	0	scNCF	[2, 2, 138, 2, 13, 186, 2, 2, 4287299338, 13, 2, 2, 8, 112, 2, 2]
1	0	scNCF	[8, 176, 2, 2, 253, 47, 1, 2, 13, 4, 1, 2, 2, 2, 2, 1]
2	0	scNCF	[32, 7, 7, 2, 19, 1, 1, 12297922913975861178, 11, 52463, 2, 2, 213, 1, 11, 2]
3	0	scNCF	[2, 2, 2, 247, 206, 50, 1, 241, 4003260878862433927183653044331152131, 1, 31, 2, 2, 340279527383593895546360065121877963571, 1, 143]
4	0	scNCF	[2, 1, 1, 7, 1, 7, 1, 8746, 1, 21, 35, 65281, 1, 1, 7, 1]
5	0	scNCF	[59, 251, 55, 1, 1, 13, 3841, 47, 14, 64511, 2, 1, 1, 2, 5767167, 1]
6	0	scNCF	[2, 14, 2, 51200, 2, 3937009664, 14, 1, 858980351, 168, 2, 2, 2, 206, 1, 2]
7	0	scNCF	[220, 41184, 2, 2, 138, 200, 2, 2, 254, 8, 254, 2, 2, 1431699453, 87, 2]
8	0	scNCF	[2, 7, 1, 7, 2, 271, 1, 1, 307, 1, 1, 1, 1, 1, 1, 112]
9	0	scNCF	[2, 2, 2, 1069498175, 224, 65274, 200, 11, 239, 8, 65264, 2, 14, 14, 8, 2]
10	0	scNCF	[234, 2, 2, 2, 2, 2, 168, 206, 8, 2, 8, 18446744073676049408, 2, 14, 2, 2]
11	0	scNCF	[1, 2, 128, 143, 1, 61354, 140, 21, 84, 251, 11, 1, 2, 13, 4009623552, 14]
12	0	scNCF	[2, 14, 8, 7, 220, 14, 200, 1, 87, 2, 2, 62933, 8, 24029, 2, 2]
13	0	scNCF	[13, 1, 1, 6151635617477230592, 2, 1, 13, 115, 13, 1, 7, 13, 1, 1, 191, 11]
14	0	scNCF	[14, 254, 1, 2, 2, 2, 1, 64, 2, 11, 1, 64248, 1, 4210096888, 14, 1]
15	0	scNCF	[2, 2, 1, 8, 14, 14, 4, 1, 4, 1, 2, 13058, 7999, 179, 2, 1]
16	0	scNCF	[49, 48063, 64242, 1, 1, 2, 4, 1, 79, 1, 1, 1, 1, 4, 2, 2]
17	0	scNCF	[4, 2, 20991, 2, 2, 8, 2, 2, 196, 1, 1, 49, 50, 4294944938, 224, 1]
18	0	scNCF	[234, 2, 2, 14, 2, 2, 8, 224, 236, 213510504734706486878980145702099787904, 2, 14, 200, 2, 8, 2]
19	0	scNCF	[21, 1, 1, 7, 1, 1, 19, 1, 858994495, 7999, 1, 7, 1, 1, 87, 1]
20	0	scNCF	[1, 1, 11, 4336, 7, 2, 4030787776, 1, 1, 43774, 11, 2, 1, 1, 3148, 171]
21	0	scNCF	[200, 2, 2, 1, 1, 248, 57344, 2, 2, 8, 2, 2, 2, 4, 1, 2]
22	0	scNCF	[2826, 1, 7, 1, 1, 1, 1, 1, 1, 1566572543, 7, 1, 872364031, 13111, 1, 115]
23	0	scNCF	[13, 1, 171, 128, 14, 2, 1, 2, 14, 1427199248, 1, 2, 11, 4, 1, 4]
24	0	scNCF	[2, 2, 2, 2, 1, 236, 1, 254, 14757395258967376064, 84, 8, 2, 2, 1, 2, 65274]
