Network_no	Model_no	func_type	model
0	0	scNCF	[12320, 7, 3842, 16175, 13171, 32575, 52420, 1293, 11, 54773, 12544, 143]
1	0	scNCF	[3853, 65311, 61456, 50, 5119, 3343, 32512, 341, 12338, 1301, 775, 65262]
2	0	scNCF	[1279, 48911, 2060, 28927, 16452, 22007, 21589, 2819, 117, 24447, 4079, 65020]
3	0	scNCF	[45216, 61952, 57504, 56320, 64496, 64853, 15155, 36815, 50, 65274, 43754, 61422]
4	0	scNCF	[60074, 53248, 52424, 43008, 64234, 3848, 45824, 53135, 63728, 52352, 51392, 60074]
5	0	scNCF	[1, 17604, 787, 511, 19, 32563, 8031, 8191, 171, 24447, 8031, 247]
6	0	scNCF	[44544, 63740, 61134, 62933, 60159, 52300, 64234, 47866, 52424, 45216, 7, 41088]
7	0	scNCF	[41184, 60671, 40992, 65418, 43168, 64760, 61388, 65504, 21824, 51336, 2562, 65456]
8	0	scNCF	[61616, 3328, 63740, 32512, 3594, 54773, 64732, 65392, 32, 13058, 32972, 52684]
9	0	scNCF	[14080, 13091, 43688, 61952, 13115, 61199, 32767, 35840, 52478, 61951, 21584, 65322]
10	0	scNCF	[21, 8031, 21, 21983, 55, 55, 1807, 21887, 127, 17477, 22391, 1287]
11	0	scNCF	[21824, 57536, 51404, 59904, 64760, 61693, 65279, 51404, 65024, 65534, 65194, 53248]
12	0	scNCF	[3983, 61664, 65008, 51336, 53328, 32768, 236, 65194, 54749, 56320, 65274, 61664]
13	0	scNCF	[43008, 13088, 52288, 21829, 65448, 65534, 13106, 65408, 51336, 65504, 59904, 53248]
14	0	scNCF	[57504, 52477, 117, 1039, 16255, 48063, 4063, 1281, 56320, 65533, 2574, 29491]
15	0	scNCF	[41184, 64234, 52424, 64756, 52424, 57504, 34944, 43648, 61664, 41088, 65024, 65514]
16	0	scNCF	[65516, 61184, 65448, 64248, 57504, 65516, 65024, 61164, 30579, 65408, 32960, 64760]
17	0	scNCF	[4336, 12592, 2184, 14335, 56796, 206, 64765, 13171, 43522, 4373, 17492, 3340]
18	0	scNCF	[65327, 62202, 61681, 9215, 224, 14199, 45296, 44991, 2047, 117, 21, 1]
19	0	scNCF	[3594, 13303, 168, 57504, 546, 8960, 33008, 41122, 63740, 13307, 45824, 32767]
20	0	scNCF	[511, 14335, 21847, 7, 14143, 3967, 775, 1, 4864, 787, 775, 127]
21	0	scNCF	[65503, 22367, 5631, 87, 19, 4181, 20592, 1349, 9011, 7, 1092, 241]
22	0	scNCF	[61952, 3086, 41128, 186, 60154, 13091, 62973, 1, 30579, 41088, 57292, 49216]
23	0	scNCF	[54528, 65493, 53248, 65294, 52429, 65456, 4864, 51336, 36815, 65488, 43688, 13303]
24	0	scNCF	[3594, 65524, 62459, 56575, 64443, 2048, 52420, 43168, 12337, 32768, 35464, 19524]
25	0	scNCF	[36623, 49280, 52480, 61664, 57536, 63728, 65274, 64760, 65228, 50244, 52352, 56796]
26	0	scNCF	[2571, 65493, 4063, 2058, 21853, 65024, 65533, 24413, 12851, 64766, 21973, 53197]
27	0	scNCF	[8191, 1293, 52480, 43144, 3343, 29695, 63488, 3844, 35976, 51336, 60620, 62459]
28	0	scNCF	[64248, 61164, 65504, 41088, 3596, 61664, 32768, 32768, 60416, 2252, 49280, 65448]
29	0	scNCF	[53215, 1301, 307, 7999, 55, 20479, 1, 13111, 16175, 22272, 8746, 48063]
30	0	scNCF	[46011, 47786, 52352, 32938, 41128, 60620, 62709, 65476, 196, 44544, 12304, 52463]
31	0	scNCF	[65466, 63488, 32768, 62933, 53248, 64499, 43648, 43648, 64766, 35338, 51404, 43144]
32	0	scNCF	[62192, 57088, 17664, 63728, 64499, 32928, 15167, 57344, 65534, 52480, 62716, 29683]
33	0	scNCF	[4113, 65293, 57295, 64496, 206, 65486, 28912, 4113, 61941, 22367, 47803, 64443]
34	0	scNCF	[57536, 32768, 63488, 65274, 52424, 61568, 34944, 63488, 64234, 61568, 64234, 60416]
35	0	scNCF	[1301, 307, 112, 10762, 2047, 53248, 30591, 14143, 5631, 30591, 47, 16159]
36	0	scNCF	[32767, 5631, 13171, 271, 1349, 1, 1807, 4401, 3967, 5631, 63487, 3085]
37	0	scNCF	[775, 13183, 16255, 22527, 55, 62837, 273, 4915, 307, 8031, 29683, 1]
38	0	scNCF	[127, 4371, 24447, 515, 14335, 13111, 16255, 14199, 527, 11, 1, 13111]
39	0	scNCF	[19, 1287, 24543, 4371, 4373, 2047, 3085, 2047, 1, 5631, 48896, 3847]
40	0	scNCF	[56829, 17604, 3871, 24351, 76, 65335, 20592, 3967, 261, 1287, 1301, 767]
41	0	scNCF	[64, 241, 12320, 29952, 208, 65514, 52364, 64, 17492, 1792, 65020, 29695]
42	0	scNCF	[21877, 30591, 49, 65301, 20561, 32575, 1, 19, 14143, 7, 511, 29559]
43	0	scNCF	[64307, 60142, 65533, 41088, 32768, 65516, 61568, 65448, 60620, 61162, 59904, 64748]
44	0	scNCF	[62967, 65528, 43694, 14, 48051, 16255, 12095, 65020, 60074, 30581, 32575, 17732]
45	0	scNCF	[65288, 65284, 65296, 47931, 12595, 52735, 34954, 65528, 5631, 16255, 43711, 4864]
46	0	scNCF	[8706, 32512, 3853, 35016, 36815, 43951, 30591, 5376, 3076, 61664, 61691, 65344]
47	0	scNCF	[2831, 273, 56524, 1281, 53248, 53071, 65311, 4371, 48063, 43552, 12207, 20736]
48	0	scNCF	[61162, 43263, 34956, 93, 62464, 2058, 4, 57088, 56669, 65454, 43754, 4063]
49	0	scNCF	[60668, 43263, 60142, 65448, 63488, 51200, 56320, 65262, 65448, 52352, 49280, 65264]
