Network_no	Model_no	func_type	model
0	0	scNCF	[1, 11, 1, 2, 7, 7, 7, 7, 8, 8, 7, 2]
1	0	scNCF	[1, 4, 8, 2, 1, 1, 7, 1, 7, 11, 1, 7]
2	0	scNCF	[8, 11, 11, 14, 1, 13, 13, 2, 7, 14, 2, 11]
3	0	scNCF	[14, 4, 8, 8, 13, 14, 14, 4, 8, 4, 8, 14]
4	0	scNCF	[1, 7, 1, 4, 7, 7, 1, 1, 7, 1, 2, 13]
5	0	scNCF	[7, 13, 7, 13, 2, 2, 1, 13, 7, 14, 4, 2]
6	0	scNCF	[7, 4, 1, 7, 14, 7, 11, 1, 7, 7, 7, 7]
7	0	scNCF	[8, 13, 4, 14, 1, 7, 4, 14, 13, 1, 8, 14]
8	0	scNCF	[11, 13, 2, 11, 8, 8, 2, 7, 7, 14, 1, 14]
9	0	scNCF	[1, 4, 7, 1, 4, 7, 4, 7, 7, 7, 4, 2]
10	0	scNCF	[1, 1, 14, 1, 11, 4, 1, 7, 7, 7, 7, 13]
11	0	scNCF	[4, 8, 14, 8, 8, 1, 2, 2, 4, 14, 14, 4]
12	0	scNCF	[2, 11, 14, 7, 7, 11, 11, 13, 2, 1, 11, 8]
13	0	scNCF	[7, 7, 11, 14, 14, 14, 1, 1, 7, 8, 13, 8]
14	0	scNCF	[13, 14, 14, 4, 2, 11, 14, 13, 2, 8, 14, 14]
15	0	scNCF	[4, 1, 13, 2, 13, 2, 13, 11, 14, 2, 7, 14]
16	0	scNCF	[14, 1, 4, 1, 11, 8, 1, 1, 1, 11, 2, 14]
17	0	scNCF	[1, 13, 13, 4, 8, 8, 14, 8, 14, 11, 7, 2]
18	0	scNCF	[8, 14, 14, 11, 8, 8, 14, 14, 14, 2, 8, 11]
19	0	scNCF	[14, 8, 7, 4, 14, 11, 11, 2, 11, 1, 11, 8]
20	0	scNCF	[14, 13, 14, 11, 8, 8, 8, 14, 2, 11, 11, 13]
21	0	scNCF	[13, 1, 13, 1, 11, 11, 11, 8, 11, 1, 8, 4]
22	0	scNCF	[14, 7, 13, 4, 4, 8, 4, 13, 14, 1, 1, 14]
23	0	scNCF	[11, 4, 1, 14, 8, 14, 1, 11, 8, 4, 4, 1]
24	0	scNCF	[8, 11, 4, 1, 11, 13, 8, 14, 2, 14, 8, 14]
25	0	scNCF	[1, 7, 1, 7, 7, 1, 1, 7, 7, 1, 7, 7]
26	0	scNCF	[1, 4, 1, 7, 7, 11, 13, 11, 1, 13, 13, 2]
27	0	scNCF	[1, 11, 4, 11, 13, 7, 2, 13, 14, 8, 1, 7]
28	0	scNCF	[8, 2, 11, 8, 1, 14, 4, 7, 4, 2, 1, 4]
29	0	scNCF	[7, 7, 4, 8, 11, 7, 13, 7, 2, 2, 7, 4]
30	0	scNCF	[7, 2, 7, 1, 1, 1, 7, 1, 7, 7, 7, 7]
31	0	scNCF	[7, 7, 1, 4, 11, 7, 2, 7, 14, 1, 14, 7]
32	0	scNCF	[14, 14, 11, 14, 1, 2, 7, 1, 2, 4, 14, 8]
33	0	scNCF	[14, 8, 8, 13, 14, 8, 8, 11, 8, 13, 2, 14]
34	0	scNCF	[1, 1, 1, 13, 4, 7, 11, 7, 1, 7, 7, 7]
35	0	scNCF	[2, 14, 11, 11, 14, 2, 14, 14, 8, 14, 8, 8]
36	0	scNCF	[8, 2, 7, 8, 14, 8, 8, 13, 13, 8, 4, 8]
37	0	scNCF	[14, 7, 11, 14, 1, 2, 11, 13, 13, 1, 1, 4]
38	0	scNCF	[11, 11, 8, 14, 8, 8, 14, 14, 2, 8, 14, 4]
39	0	scNCF	[8, 14, 14, 14, 14, 8, 14, 4, 14, 14, 8, 8]
40	0	scNCF	[4, 4, 2, 14, 14, 4, 1, 7, 13, 2, 4, 14]
41	0	scNCF	[14, 14, 2, 14, 8, 8, 14, 8, 1, 8, 13, 14]
42	0	scNCF	[2, 11, 13, 7, 13, 7, 13, 4, 1, 1, 1, 1]
43	0	scNCF	[2, 8, 14, 8, 14, 8, 13, 8, 4, 14, 14, 14]
44	0	scNCF	[14, 2, 14, 4, 8, 11, 8, 8, 2, 4, 13, 13]
45	0	scNCF	[4, 13, 2, 8, 1, 14, 8, 11, 14, 7, 7, 11]
46	0	scNCF	[8, 8, 4, 14, 8, 8, 14, 8, 14, 8, 14, 8]
47	0	scNCF	[7, 8, 1, 11, 14, 11, 4, 2, 7, 1, 13, 1]
48	0	scNCF	[8, 4, 2, 7, 4, 2, 14, 11, 4, 8, 11, 14]
49	0	scNCF	[1, 7, 7, 13, 7, 7, 13, 7, 11, 1, 1, 1]
50	0	scNCF	[4, 11, 1, 7, 4, 2, 2, 1, 14, 4, 1, 4]
51	0	scNCF	[1, 11, 11, 2, 13, 7, 14, 13, 7, 7, 8, 14]
52	0	scNCF	[7, 7, 13, 11, 1, 7, 1, 2, 4, 1, 4, 7]
53	0	scNCF	[8, 13, 13, 8, 13, 7, 11, 8, 2, 11, 14, 4]
54	0	scNCF	[2, 4, 11, 8, 1, 1, 2, 7, 1, 7, 1, 7]
55	0	scNCF	[7, 4, 1, 13, 14, 7, 11, 4, 1, 1, 7, 7]
56	0	scNCF	[13, 4, 2, 14, 14, 13, 1, 11, 7, 2, 14, 8]
57	0	scNCF	[4, 8, 2, 8, 1, 4, 8, 2, 8, 8, 4, 14]
58	0	scNCF	[14, 14, 8, 14, 14, 8, 8, 11, 8, 14, 8, 8]
59	0	scNCF	[4, 1, 1, 7, 1, 1, 7, 7, 1, 7, 7, 7]
60	0	scNCF	[4, 8, 2, 1, 4, 13, 14, 8, 1, 8, 11, 13]
61	0	scNCF	[14, 8, 14, 8, 8, 14, 14, 8, 8, 14, 14, 8]
62	0	scNCF	[8, 8, 4, 13, 14, 4, 11, 8, 2, 11, 8, 8]
63	0	scNCF	[4, 8, 8, 14, 14, 8, 8, 8, 14, 8, 8, 8]
64	0	scNCF	[14, 11, 4, 8, 11, 13, 4, 8, 11, 13, 14, 13]
65	0	scNCF	[13, 14, 14, 1, 2, 14, 14, 7, 8, 8, 13, 2]
66	0	scNCF	[1, 7, 1, 1, 1, 1, 7, 1, 1, 7, 7, 1]
67	0	scNCF	[8, 14, 8, 8, 1, 13, 4, 4, 14, 8, 8, 11]
68	0	scNCF	[4, 4, 4, 14, 7, 2, 8, 4, 4, 4, 13, 2]
69	0	scNCF	[13, 1, 7, 4, 11, 7, 1, 7, 13, 7, 7, 11]
70	0	scNCF	[7, 1, 13, 1, 7, 7, 11, 7, 13, 8, 4, 7]
71	0	scNCF	[1, 11, 1, 4, 11, 4, 1, 7, 7, 7, 1, 2]
72	0	scNCF	[14, 14, 8, 8, 14, 14, 14, 8, 13, 8, 2, 14]
73	0	scNCF	[11, 13, 13, 13, 13, 8, 4, 13, 14, 8, 2, 8]
74	0	scNCF	[14, 4, 2, 14, 11, 13, 8, 8, 14, 13, 1, 8]
75	0	scNCF	[11, 13, 13, 8, 14, 2, 11, 13, 13, 1, 13, 14]
76	0	scNCF	[1, 14, 1, 1, 7, 1, 7, 7, 7, 4, 4, 7]
77	0	scNCF	[4, 14, 8, 4, 2, 2, 8, 2, 8, 2, 1, 11]
78	0	scNCF	[7, 2, 14, 13, 8, 8, 11, 4, 8, 11, 8, 14]
79	0	scNCF	[14, 2, 8, 4, 7, 7, 8, 8, 8, 1, 8, 1]
80	0	scNCF	[13, 4, 14, 14, 4, 8, 2, 8, 8, 7, 1, 11]
81	0	scNCF	[13, 7, 2, 7, 1, 7, 2, 4, 1, 11, 4, 7]
82	0	scNCF	[13, 7, 13, 4, 1, 11, 2, 2, 2, 14, 4, 2]
83	0	scNCF	[4, 2, 7, 7, 8, 8, 7, 2, 2, 13, 1, 7]
84	0	scNCF	[4, 14, 2, 14, 4, 14, 8, 4, 8, 14, 2, 14]
85	0	scNCF	[7, 7, 7, 4, 4, 14, 13, 2, 13, 8, 2, 1]
86	0	scNCF	[11, 11, 11, 11, 7, 13, 11, 8, 1, 14, 8, 4]
87	0	scNCF	[8, 2, 2, 11, 4, 8, 8, 7, 8, 8, 13, 8]
88	0	scNCF	[7, 7, 1, 7, 7, 4, 14, 11, 4, 7, 7, 13]
89	0	scNCF	[13, 1, 14, 14, 14, 14, 14, 14, 13, 4, 13, 11]
90	0	scNCF	[14, 8, 14, 4, 8, 8, 2, 4, 13, 11, 2, 8]
91	0	scNCF	[7, 1, 7, 1, 1, 4, 7, 7, 7, 2, 2, 7]
92	0	scNCF	[13, 4, 8, 13, 7, 2, 14, 14, 11, 11, 13, 4]
93	0	scNCF	[1, 1, 13, 1, 1, 13, 1, 1, 1, 4, 1, 7]
94	0	scNCF	[14, 14, 14, 8, 14, 14, 14, 8, 14, 14, 14, 8]
95	0	scNCF	[8, 14, 13, 8, 2, 2, 14, 14, 8, 2, 8, 8]
96	0	scNCF	[8, 14, 8, 8, 8, 13, 14, 14, 8, 8, 14, 14]
97	0	scNCF	[13, 2, 8, 14, 4, 8, 13, 13, 13, 7, 4, 14]
98	0	scNCF	[1, 1, 1, 1, 7, 7, 7, 1, 1, 7, 1, 11]
99	0	scNCF	[1, 1, 14, 4, 8, 8, 14, 11, 8, 8, 8, 14]
100	0	scNCF	[11, 8, 8, 8, 13, 8, 8, 13, 8, 8, 14, 2]
101	0	scNCF	[4, 7, 4, 7, 7, 4, 7, 7, 1, 7, 1, 2]
102	0	scNCF	[11, 11, 2, 4, 7, 2, 1, 7, 7, 11, 7, 13]
103	0	scNCF	[11, 7, 8, 4, 8, 14, 7, 8, 14, 8, 14, 2]
104	0	scNCF	[8, 4, 13, 14, 11, 8, 2, 14, 8, 8, 8, 8]
105	0	scNCF	[8, 8, 14, 8, 8, 7, 8, 13, 11, 2, 8, 14]
106	0	scNCF	[1, 4, 7, 4, 1, 11, 7, 4, 2, 4, 2, 2]
