Network_no	Model_no	func_type	model
0	0	scNCF	[14, 14, 14, 13, 8, 2, 8, 14, 8, 1, 7, 14, 8, 14, 8, 8]
1	0	scNCF	[8, 8, 2, 14, 11, 8, 11, 2, 13, 8, 11, 8, 8, 4, 8, 14]
2	0	scNCF	[13, 1, 7, 1, 7, 13, 1, 8, 7, 7, 1, 7, 11, 7, 13, 2]
3	0	scNCF	[14, 11, 1, 1, 7, 11, 13, 11, 13, 7, 8, 11, 4, 2, 2, 8]
4	0	scNCF	[1, 13, 4, 1, 1, 14, 1, 8, 7, 4, 1, 1, 13, 2, 7, 1]
5	0	scNCF	[4, 8, 14, 4, 8, 8, 11, 14, 8, 4, 8, 2, 14, 11, 14, 7]
6	0	scNCF	[7, 7, 1, 1, 7, 7, 7, 1, 1, 7, 7, 1, 1, 1, 1, 1]
7	0	scNCF	[8, 13, 8, 4, 2, 14, 4, 1, 14, 7, 1, 7, 4, 7, 11, 14]
8	0	scNCF	[8, 11, 11, 8, 8, 14, 8, 8, 7, 14, 8, 8, 4, 11, 11, 4]
9	0	scNCF	[11, 7, 4, 7, 4, 7, 13, 7, 1, 4, 1, 1, 1, 7, 7, 11]
10	0	scNCF	[7, 7, 1, 7, 7, 7, 1, 7, 4, 7, 4, 1, 1, 7, 1, 4]
11	0	scNCF	[8, 14, 4, 14, 7, 2, 4, 4, 2, 13, 1, 7, 8, 1, 8, 4]
12	0	scNCF	[1, 4, 1, 11, 14, 14, 13, 14, 14, 8, 14, 1, 14, 8, 14, 8]
13	0	scNCF	[8, 4, 14, 8, 8, 8, 8, 8, 14, 2, 14, 8, 14, 4, 11, 13]
14	0	scNCF	[7, 4, 1, 8, 2, 1, 7, 1, 1, 7, 11, 1, 1, 1, 7, 13]
15	0	scNCF	[1, 7, 7, 7, 7, 7, 7, 1, 7, 4, 2, 11, 7, 1, 7, 2]
16	0	scNCF	[7, 1, 7, 7, 7, 1, 1, 1, 1, 7, 7, 1, 7, 1, 1, 1]
17	0	scNCF	[14, 1, 11, 1, 8, 14, 14, 8, 8, 14, 8, 13, 13, 14, 1, 14]
18	0	scNCF	[7, 7, 13, 7, 7, 7, 1, 7, 2, 1, 1, 1, 7, 1, 1, 7]
19	0	scNCF	[14, 14, 8, 14, 8, 8, 14, 14, 8, 8, 14, 8, 14, 14, 8, 14]
20	0	scNCF	[14, 14, 14, 8, 14, 14, 14, 14, 8, 8, 8, 8, 8, 8, 14, 14]
21	0	scNCF	[8, 14, 14, 14, 13, 14, 14, 8, 8, 8, 14, 14, 14, 13, 8, 14]
22	0	scNCF	[14, 8, 4, 8, 14, 14, 8, 8, 8, 14, 8, 8, 4, 7, 8, 14]
23	0	scNCF	[14, 14, 14, 2, 13, 7, 14, 8, 14, 8, 8, 13, 2, 14, 2, 14]
24	0	scNCF	[8, 14, 14, 14, 8, 4, 14, 14, 14, 14, 8, 14, 8, 8, 8, 14]
25	0	scNCF	[4, 11, 13, 13, 1, 7, 1, 8, 1, 7, 4, 1, 7, 4, 11, 13]
26	0	scNCF	[8, 8, 13, 14, 14, 13, 8, 14, 13, 2, 14, 14, 4, 8, 14, 11]
27	0	scNCF	[4, 14, 7, 4, 8, 7, 7, 11, 13, 2, 2, 11, 11, 2, 14, 14]
28	0	scNCF	[1, 7, 7, 1, 7, 7, 7, 4, 1, 1, 7, 1, 7, 1, 1, 7]
29	0	scNCF	[8, 8, 8, 14, 14, 8, 4, 14, 8, 13, 8, 8, 14, 14, 14, 8]
30	0	scNCF	[1, 14, 1, 1, 4, 1, 1, 11, 4, 1, 1, 2, 2, 2, 1, 7]
31	0	scNCF	[14, 2, 13, 14, 8, 2, 13, 8, 4, 8, 4, 14, 11, 8, 14, 13]
32	0	scNCF	[2, 2, 14, 8, 8, 11, 14, 14, 4, 13, 14, 8, 13, 8, 4, 14]
33	0	scNCF	[7, 1, 1, 1, 7, 1, 1, 1, 7, 7, 1, 1, 7, 7, 1, 11]
34	0	scNCF	[7, 1, 11, 14, 4, 4, 4, 11, 2, 13, 1, 14, 7, 4, 4, 2]
35	0	scNCF	[8, 8, 8, 11, 8, 1, 8, 1, 1, 8, 4, 2, 4, 1, 8, 7]
36	0	scNCF	[8, 14, 1, 14, 14, 2, 14, 4, 13, 8, 8, 14, 14, 8, 14, 11]
37	0	scNCF	[14, 7, 1, 13, 1, 8, 11, 11, 7, 4, 2, 14, 7, 7, 11, 8]
38	0	scNCF	[14, 2, 8, 14, 8, 8, 14, 13, 8, 2, 2, 14, 14, 2, 1, 2]
39	0	scNCF	[14, 14, 14, 4, 11, 11, 14, 11, 13, 4, 8, 13, 8, 14, 14, 11]
40	0	scNCF	[14, 2, 14, 2, 4, 8, 14, 14, 8, 14, 8, 4, 14, 11, 8, 14]
41	0	scNCF	[2, 7, 4, 1, 13, 13, 4, 1, 7, 7, 1, 1, 1, 1, 7, 7]
