	Node	No. of inputs	EF	UF	NCF
1	v_AKT	1	Yes	Yes	Yes
2	v_CDH1_b1	4	Yes	Yes	Yes
3	v_CDH1_b2	4	Yes	Yes	Yes
4	v_DMRT1	3	Yes	Yes	Yes
5	v_ETV5	4	Yes	Yes	Yes
6	v_EZH2	2	Yes	Yes	Yes
7	v_KLF4	2	Yes	Yes	Yes
8	v_LIN28a	1	Yes	Yes	Yes
9	v_MET	2	Yes	Yes	Yes
10	v_NANOG	6	Yes	Yes	Yes
11	v_OCT4	2	Yes	Yes	Yes
12	v_OCT4SOX2	2	Yes	Yes	Yes
13	v_PI3K	2	Yes	Yes	Yes
14	v_PRDM14	2	Yes	Yes	Yes
15	v_SFK	1	Yes	Yes	Yes
16	v_SMAD1_5	1	Yes	Yes	Yes
17	v_SMAD1_5_4	1	Yes	Yes	Yes
18	v_SMAD3	1	Yes	Yes	Yes
19	v_SOX2	3	Yes	Yes	Yes
20	v_STAT3	1	Yes	Yes	Yes
21	v_TBX3	1	Yes	Yes	Yes
22	v_TET1	2	Yes	Yes	Yes
23	v_TFAP2C	1	Yes	Yes	Yes
24	v_TGFB	1	Yes	Yes	Yes
25	v_BMP4	1	Yes	Yes	Yes
26	v_GDNF	1	Yes	Yes	Yes
27	v_LIF	1	Yes	Yes	Yes
