from	to	sign
v_GSK3B_H	v_Bcatenin_H	i
v_FoxO3a_M	v_Bcatenin_M	i
v_GSK3B_M	v_Bcatenin_M	i
v_NfkB_M	v_Bcatenin_M	i
v_Cx43_M	v_CXCL12_M	a
v_NfkB_M	v_CXCL12_M	i
v_Bcatenin_M	v_CXCL12_M	i
v_GCSF	v_CXCL12_M	i
v_GCSF	v_CXCR4_H	i
v_CXCL12_M	v_CXCR4_H	a
v_CXCR7_H	v_CXCR4_H	i
v_Gfi1_H	v_CXCR4_H	i
v_CXCL12_M	v_CXCR7_H	a
v_NfkB_H	v_CXCR7_H	a
v_CXCR4_H	v_ERK_H	a
v_CXCR7_H	v_ERK_H	a
v_FoxO3a_H	v_ERK_H	i
v_GCSF	v_ERK_H	a
v_GSK3B_H	v_ERK_H	i
v_Gfi1_H	v_ERK_H	a
v_PI3KAkt_H	v_ERK_H	a
v_ROS_H	v_ERK_H	a
v_VLA4_H	v_ERK_H	a
v_GCSF	v_ERK_M	a
v_ROS_M	v_ERK_M	a
v_TLR_M	v_ERK_M	a
v_Bcatenin_H	v_FoxO3a_H	a
v_PI3KAkt_H	v_FoxO3a_H	i
v_ROS_H	v_FoxO3a_H	a
v_ERK_H	v_FoxO3a_H	i
v_Bcatenin_M	v_FoxO3a_M	a
v_ROS_M	v_FoxO3a_M	a
v_ERK_M	v_FoxO3a_M	i
v_PI3KAkt_M	v_FoxO3a_M	i
v_IL1	v_GCSF	a
v_PI3KAkt_H	v_GSK3B_H	i
v_PI3KAkt_M	v_GSK3B_M	i
v_GCSF	v_Gfi1_H	a
v_TLR_H	v_Gfi1_H	a
v_Gfi1_H	v_Gfi1_H	i
v_NfkB_H	v_IL1	a
v_NfkB_M	v_IL1	a
v_PI3KAkt_H	v_IL1	i
v_PI3KAkt_M	v_IL1	i
v_ROS_H	v_IL1	a
v_ROS_M	v_IL1	a
v_FoxO3a_H	v_NfkB_H	i
v_IL1	v_NfkB_H	a
v_PI3KAkt_H	v_NfkB_H	a
v_ROS_H	v_NfkB_H	a
v_TLR_H	v_NfkB_H	a
v_ERK_M	v_NfkB_M	a
v_IL1	v_NfkB_M	a
v_PI3KAkt_M	v_NfkB_M	a
v_ROS_M	v_NfkB_M	a
v_TLR_M	v_NfkB_M	a
v_CXCR4_H	v_PI3KAkt_H	a
v_CXCR7_H	v_PI3KAkt_H	a
v_FoxO3a_H	v_PI3KAkt_H	i
v_GCSF	v_PI3KAkt_H	a
v_ROS_H	v_PI3KAkt_H	a
v_TLR_H	v_PI3KAkt_H	a
v_VLA4_H	v_PI3KAkt_H	a
v_GCSF	v_PI3KAkt_M	a
v_ROS_M	v_PI3KAkt_M	a
v_TLR_M	v_PI3KAkt_M	a
v_TLR_H	v_ROS_H	a
v_IL1	v_ROS_H	a
v_FoxO3a_H	v_ROS_H	i
v_FoxO3a_M	v_ROS_M	i
v_TLR_M	v_ROS_M	a
v_IL1	v_ROS_M	a
v_lTLR	v_TLR_H	a
v_lTLR	v_TLR_M	a
v_PI3KAkt_M	v_VCAM1_M	a
v_Bcatenin_M	v_VCAM1_M	i
v_NfkB_M	v_VCAM1_M	a
v_CXCR4_H	v_VLA4_H	a
v_VCAM1_M	v_VLA4_H	a
v_lTLR	v_lTLR	a
v_Cx43_M	v_Cx43_M	a
