model_number	attractor_number	attractor_length	attractor_basin_size
7	1	1	28
7	2	1	4
8	1	1	1460752
8	2	1	1889264
8	3	1	3234816
8	4	1	1408
8	5	1	1451392
8	6	1	1833312
8	7	1	3234816
8	8	1	1760
8	9	1	21432736
8	10	1	1408
8	11	1	5880
8	12	1	27694672
8	13	1	133632
8	14	1	4560
8	15	1	1460752
8	16	1	1889264
8	17	1	3234816
8	18	1	1408
8	19	1	207360
8	20	1	27190880
8	21	1	4032
8	22	1	21432736
8	23	1	1408
8	24	1	5880
8	25	1	207360
8	26	1	27190880
8	27	1	4032
8	28	2	6880
8	29	2	13633536
8	30	2	10752
8	31	2	13633536
8	32	2	226864
8	33	2	88040
8	34	2	5058432
8	35	2	48256
8	36	2	614880
8	37	2	6880
8	38	2	13633536
8	39	2	5494112
8	40	2	54944
8	41	2	603104
8	42	2	226864
8	43	2	88040
8	44	2	5494112
8	45	2	54944
8	46	2	603104
8	47	3	55344
8	48	3	13696
8	49	3	102512
8	50	3	21504
8	51	3	55344
8	52	3	13696
8	53	4	6863472
8	54	4	1216224
8	55	4	66720
8	56	4	6863472
8	57	4	1216224
8	58	4	66720
8	59	6	9085152
8	60	6	2869968
8	61	6	978832
8	62	6	117344
8	63	6	80672
8	64	6	63024
8	65	6	17248
8	66	6	33312
8	67	6	13184
8	68	6	8846176
8	69	6	2340016
8	70	6	1185648
8	71	6	105024
8	72	6	622816
8	73	6	77648
8	74	6	25760
8	75	6	43232
8	76	6	18528
8	77	6	9085152
8	78	6	2869968
8	79	6	978832
8	80	6	117344
8	81	6	80672
8	82	6	63024
8	83	6	17248
8	84	6	33312
8	85	6	13184
8	86	8	653512
8	87	8	1884304
8	88	8	595712
8	89	8	198864
8	90	8	136112
8	91	8	184584
8	92	8	653512
8	93	8	1884304
8	94	8	595712
8	95	8	198864
8	96	8	136112
8	97	8	184584
10	1	1	75
10	2	1	8117
10	3	1	8192
10	4	1	147
10	5	1	8045
10	6	1	8192
22	1	1	18816
22	2	1	100000
22	3	1	6680
22	4	1	5576
22	5	1	12480
22	6	1	106336
22	7	1	6680
22	8	1	5576
22	9	1	24392
22	10	1	100000
22	11	1	6680
22	12	1	18056
22	13	1	100000
22	14	1	6680
22	15	1	26656
22	16	1	104416
22	17	1	24736
22	18	1	106336
22	19	1	26656
22	20	1	104416
22	21	1	24736
22	22	1	106336
22	23	1	24392
22	24	1	100000
22	25	1	6680
22	26	1	18056
22	27	1	100000
22	28	1	6680
22	29	1	24392
22	30	1	100000
22	31	1	6680
22	32	1	18056
22	33	1	100000
22	34	1	6680
22	35	1	26656
22	36	1	104416
22	37	1	24736
22	38	1	106336
22	39	1	26656
22	40	1	104416
22	41	1	24736
22	42	1	106336
22	43	1	131072
22	44	1	131072
22	45	1	131072
22	46	1	131072
22	47	1	131072
22	48	1	131072
22	49	1	131072
22	50	1	131072
22	51	1	131072
22	52	1	131072
22	53	1	131072
22	54	1	131072
22	55	1	131072
22	56	1	131072
22	57	1	131072
22	58	1	131072
22	59	2	6336
22	60	2	6336
22	61	2	6336
23	1	1	512
23	2	7	512
31	1	1	392
31	2	5	120
40	1	1	43202
40	2	1	190976
40	3	1	290110
