model_no	func_type	model
0	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275068416, 76, 1]
1	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275068416, 93, 1]
2	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275071488, 76, 1]
3	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275071488, 93, 1]
4	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1325400064, 76, 1]
5	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1325400064, 93, 1]
6	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1279524864, 76, 1]
7	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1279524864, 93, 1]
8	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1560281088, 76, 1]
9	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1560281088, 93, 1]
10	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275085824, 76, 1]
11	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275085824, 93, 1]
12	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275854848, 76, 1]
13	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275854848, 93, 1]
14	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1565851648, 76, 1]
15	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1565851648, 93, 1]
16	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1326383104, 76, 1]
17	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1326383104, 93, 1]
18	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1325403904, 76, 1]
19	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1325403904, 93, 1]
20	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1560302848, 76, 1]
21	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1560302848, 93, 1]
22	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275857932, 76, 1]
23	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1275857932, 93, 1]
24	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1593855744, 76, 1]
25	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1593855744, 93, 1]
26	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1600081679, 76, 1]
27	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1600081679, 93, 1]
28	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1280068620, 76, 1]
29	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1280068620, 93, 1]
30	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599930368, 76, 1]
31	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599930368, 93, 1]
32	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599012864, 76, 1]
33	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599012864, 93, 1]
34	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599037199, 76, 1]
35	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599037199, 93, 1]
36	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1593859328, 76, 1]
37	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1593859328, 93, 1]
38	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1330597647, 76, 1]
39	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1330597647, 93, 1]
40	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599016719, 76, 1]
41	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1599016719, 93, 1]
42	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1594838799, 76, 1]
43	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1594838799, 93, 1]
44	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1326386959, 76, 1]
45	all_scNCF	[59, 128, 32768, 1, 704643072, 1, 1, 1326386959, 93, 1]
46	all_scNCF	[59, 128, 32768, 1, 704651776, 1, 1, 1275068416, 76, 1]
