model_no	func_type	model
0	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
1	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
2	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
3	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
4	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
5	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
6	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
7	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 7, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
8	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
9	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
10	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
11	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
12	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
13	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
14	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
15	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 55, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
16	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
17	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
18	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
19	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
20	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102338004287487, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
21	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6196390133013479423, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
22	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6185131133945053183, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
23	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 327687, 4, 2, 6149102336930283519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
24	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102338273771519, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
25	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102338072444927, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
26	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102338005073919, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
27	all_scNCF	[2, 2, 2, 1, 1, 2, 42, 87, 4, 2, 6149102336931594239, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
