model_no	func_type	model
19	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 264363827065072, 2004811776, 21847, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
20	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4279369553, 2004811776, 1376511, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
21	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89133456359423, 2004811776, 858993463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
22	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 281474967535615, 2004811776, 3967, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
23	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5769199431484178431, 2004811776, 17761551, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
24	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149102306861252607, 2004811776, 1431656287, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
25	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4027645951, 2004811776, 69905, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
26	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 18760417214463, 2004811776, 50533171, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
27	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1225259475468877568, 2004811776, 286462739, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
28	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 20816, 2004811776, 1073709055, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
29	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689419183486137139, 2004811776, 33492991, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
30	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 65397, 2004811776, 50855935, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
31	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1426085136, 2004811776, 859308031, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
32	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5859558400861405183, 2004811776, 1434408447, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
33	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 89404039299071, 2004811776, 20120371, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
34	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5764730672631513087, 2004811776, 255790975, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
35	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4027641904, 2004811776, 33490431, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
36	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6124989026153813265, 2004811776, 1467447159, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
37	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3674993440603517712, 2004811776, 3347251, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
38	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8286903694121762815, 2004811776, 252674047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
39	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8454792885359179605, 2004811776, 983071, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
40	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6125024138080843520, 2004811776, 5767167, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
41	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4285792119, 2004811776, 4128895, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
42	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8454945348141842431, 2004811776, 1465868127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
43	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3688729566357094399, 2004811776, 926891839, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
44	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8454795232737755135, 2004811776, 859780927, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
45	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4278255441, 2004811776, 2004318079, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
46	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153185391692480511, 2004811776, 2031711, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
47	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3530878402850468659, 2004811776, 2047, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
48	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17596464299776, 2004811776, 1258291, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
49	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93458756818176, 2004811776, 1432311647, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
50	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229782938784182577, 2004811776, 17108751, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
51	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129492917843154261, 2004811776, 84346631, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
52	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153186418998178032, 2004811776, 259985407, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
53	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3472328296244458288, 2004811776, 257892191, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
54	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149102338894594047, 2004811776, 84215567, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
55	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 17592994508848, 2004811776, 859010943, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
56	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6129492628649017343, 2004811776, 1602183167, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
57	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6124989301036242261, 2004811776, 4128895, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
58	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 825241905, 2004811776, 253755391, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
59	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 93527207903231, 2004811776, 526385151, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
60	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 5787213827583045872, 2004811776, 863449983, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
61	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153201881498058496, 2004811776, 1465868127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
62	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3544668469099311923, 2004811776, 536829951, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
63	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 4279304191, 2004811776, 1465341791, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
64	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3535663477457892147, 2004811776, 32767, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
65	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149101745652236151, 2004811776, 69905, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
66	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8070732006956269567, 2004811776, 127, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
67	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3689573994575691775, 2004811776, 858993463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
68	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 822149119, 2004811776, 16843025, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
69	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6148914693956698111, 2004811776, 196615, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
70	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8454945348141842431, 2004811776, 859308031, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
71	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149101745652236151, 2004811776, 259, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
72	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8608630653358964735, 2004811776, 1065304063, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
73	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1229782939321062741, 2004811776, 926365559, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
74	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 825307953, 2004811776, 286594325, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
75	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 6149101608750153557, 2004811776, 286470963, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
76	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8286754160523673344, 2004811776, 926365559, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
77	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 131344394909559, 2004811776, 864026623, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
78	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1153185391675768576, 2004811776, 872382463, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
79	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3674993440602469171, 2004811776, 286332245, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
80	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8093092158609846384, 2004811776, 1376341, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
81	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 3458820808778986291, 2004811776, 1431830527, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
82	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 1225072922491639125, 2004811776, 1310719, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
83	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 825242416, 2004811776, 1310719, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
84	all_scNCF	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 129007932732917, 2004811776, 983071, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
