Model_no	func_type	model
7	bio	[8, 128, 16, 64, 4]
8	bio	[2, 4, 1, 4, 19660, 1, 1, 1, 1, 7, 2, 2, 2, 76, 1, 1, 76, 1, 1, 4, 1, 4, 1, 112, 1, 1, 1, 1]
10	bio	[4, 93, 42, 1, 127, 536870911, 2, 158798448673953643329008280872824078335, 1, 2351055615081619616, 1, 1, 1, 1, 1]
22	bio	[17484, 1, 2, 158178131498404988884704354616177852416, 5533798042131496960, 1, 1, 1, 1, 1, 19711, 1, 34824, 1, 1, 1, 2, 1, 1, 1, 1, 1]
23	bio	[1, 35583, 922121403912683520, 8, 2, 32904, 2717917696, 4279631701, 2717917184, 1]
31	bio	[1, 32, 1, 1, 10752, 1, 1, 7, 1]
40	bio	[42, 1, 1894838512, 1, 1, 1, 1, 4, 2, 2, 1, 2, 1, 7, 7, 1, 4, 1, 112, 1, 1, 1, 1]
61	bio	[2, 128, 128, 2048, 1, 6284705383369299797771805188041356836656433150736908590274220468143620192094302527268528549705478017412484330379520550794424058756960646453860510294081536, 127, 8352, 2184, 1, 2, 2, 42, 8309409528899764208, 2004811776, 1432319871, 170135991203223569244594417953325121536, 127, 2, 16, 1, 1, 223, 1, 1, 1]
63	bio	[1, 7, 1, 2, 4, 1228, 64, 1, 8, 143, 1, 1, 1]
67	bio	[1, 55, 2, 1, 2, 1, 1, 21, 1, 1, 1, 1, 1]
69	bio	[2, 2, 2, 1, 1, 2, 42, 84215095, 4, 2, 6196390134438756351, 1, 4, 1, 1, 1, 1, 1, 2, 2, 1, 1]
74	bio	[7, 8, 4, 2, 23808, 8, 12464, 8, 8, 4, 8, 128, 8, 112, 8, 4, 8, 4]
85	bio	[1, 24447, 5376, 128, 32767, 14, 7, 1, 7, 9187342687924092799, 7, 1, 7, 7, 1, 1, 1, 1, 117, 1, 1, 7, 1, 1, 1, 1, 1]
86	bio	[14190207014376984536352076072266866715492668903950760803818152358429327360, 32, 9151314442816847872, 6677614543713516378427206945034050206407179476457073228043568601183343448397040427255247179512938219488576596118865332897517752236717349883264684907298816, 2, 143165576, 2147418112, 8, 42, 87, 1, 147573952589676412928, 8192, 2184, 57896044618658097711785492504343953926634992332820282019728792003956564819968, 1879048192, 102080556238794711176909557832467087360, 4611686018427387904, 1, 1]
88	bio	[1, 7, 8, 8, 8, 8]
95	bio	[43, 128, 32768, 1, 721551872, 1, 1, 1292108800, 77, 1]
99	bio	[2, 4, 11, 1, 1, 19, 76, 4, 1, 17714334456184395093, 49, 1, 2, 1, 13171, 16, 1, 1, 1]
100	bio	[2, 76, 2147483647, 1, 1, 2, 8, 2, 1, 2, 1, 2, 2, 13, 14, 2, 1, 1, 1, 1, 1]
109	bio	[32, 10752, 8, 4, 2]
110	bio	[1, 1, 2, 1, 2, 4, 4, 2, 2]
133	bio	[2, 2, 1, 1, 2, 1, 1, 4, 1, 1]
200	bio	[253, 1, 2, 8, 50, 234, 18101087528008548147, 248, 176, 1, 4, 8, 2, 50, 1, 3288386560, 4096, 64, 1, 2004178261, 2, 79, 45056, 7, 2568, 1]
208	bio	[1, 7, 1, 112, 1, 79, 176881663, 167807488, 1, 7, 4, 1, 3212, 4, 1]
212	bio	[4, 1, 2, 4, 7, 1, 2, 4, 8, 1, 1, 812974165, 1610579967, 1, 1, 1]
