Model_no	func_type	model
7	IMR	[212, 3561029076, 113, 212, 113]
8	IMR	[2, 113, 1, 113, 275870199, 1, 23, 23, 1, 23, 77, 77, 2, 77, 1, 23, 77, 1, 1, 113, 1, 77, 1, 113, 1, 1, 1, 1]
10	IMR	[113, 77, 43, 23, 23, 18290559, 77, 5214401853277568295361350912147455, 1, 3653461613885928115, 1, 1, 1, 1, 1]
22	IMR	[275870199, 1, 77, 168931844874199032289411394071596308225, 151490290811196046122079209884925038705, 1, 1, 1, 1, 1, 3407, 1, 36622, 1, 1, 1, 77, 1, 1, 1, 1, 1]
23	IMR	[1, 1087689981, 10303964295187071118, 212, 77, 3561029076, 4222792224, 385974039, 4222792224, 1]
31	IMR	[1, 1292164941, 23, 1, 1306461261, 23, 1, 23, 23]
40	IMR	[43, 1, 275870199, 1, 1, 1, 1, 113, 77, 77, 1, 77, 1, 23, 23, 1, 113, 1, 113, 1, 1, 1, 1]
61	IMR	[2, 232, 3561029076, 3573366996, 23, 57079752133456854314515308345776402008325166862026452379299837614790947496853243037077820525052516795637596496912679003762152041590300904355457333663615, 23, 1292164941, 1087689981, 1, 2, 2, 43, 30577456521653713739282140769273478935, 394199319, 18290559, 1448650910031073375941010305576802175, 23, 43, 113, 1, 1, 77, 23, 1, 1]
63	IMR	[23, 23, 1, 2, 77, 275870199, 212, 1, 212, 142, 1, 1, 1]
67	IMR	[23, 23, 2, 1, 77, 23, 23, 23, 1, 1, 1, 1, 1]
69	IMR	[77, 2, 2, 1, 23, 77, 43, 18290559, 113, 2, 4683133379230843133, 1, 113, 23, 1, 1, 23, 1, 2, 2, 1, 1]
74	IMR	[3, 212, 113, 77, 1912017009, 142, 1292164941, 212, 212, 113, 212, 232, 212, 113, 212, 113, 212, 113]
85	IMR	[1, 383, 394199319, 232, 18290559, 212, 23, 1, 23, 1663938770791110423, 23, 23, 23, 23, 1, 1, 1, 1, 113, 1, 1, 23, 1, 1, 1, 1, 1]
86	IMR	[13145371761100810090347797338949808245062731229119512100921346182698209716640317869795860817865721186840267606903400774826008838354707101048305132371455, 178, 170136467728279914157366062620467462145, 57098526042766961508982249024695373722065282505573709839652113938759950944354100555446803482196252747725365645757235489320459847569379541884086804486015, 77, 143560431, 394199319, 212, 43, 23, 1, 11374029202122769967888974306429800175, 3746385156, 1087689981, 115792082308504141194075688071693411271793757404810887812014507330819745382400, 4151406864, 297743458196482299091888244446659936260, 340240655033746056073062007242530754560, 1, 1]
88	IMR	[1, 23, 212, 212, 212, 212]
95	IMR	[43, 232, 3900767976, 1, 3207277314, 1, 1, 3746385156, 77, 1]
99	IMR	[2, 113, 77, 1, 1, 23, 77, 113, 1, 340240655033746056073062007242530754560, 113, 1, 77, 1, 12659, 113, 1, 1, 1]
100	IMR	[77, 77, 18290559, 1, 1, 77, 212, 2, 1, 2, 1, 2, 2, 113, 142, 2, 1, 1, 1, 1, 1]
109	IMR	[178, 12043, 2735, 113, 77]
110	IMR	[1, 1, 2, 1, 77, 113, 113, 2, 2]
133	IMR	[2, 2, 5, 23, 43, 1, 5, 275870199, 1, 1]
200	IMR	[1896937329, 1, 77, 212, 178, 232, 102371406061619684321155997173039488845, 232, 178, 1, 113, 212, 77, 178, 1, 3561029076, 2132219649, 212, 1, 4151406864, 77, 77, 3746385156, 23, 3573366996, 1]
208	IMR	[1, 23, 1, 113, 23, 77, 143560431, 2382950286, 1, 23, 113, 23, 3727, 113, 1]
212	IMR	[113, 1, 2, 113, 23, 23, 2, 113, 212, 1, 1, 1912017009, 18290559, 1, 1, 1]
