	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
0	9	11111111111111111111111111111110111111111111111011111110111010001111111111111110111111101110100011111110111010001110100010000000111111111111111011111110111010001111111011101000111010001000000011111110111010001110100010000000111010001000000010000000000000001111111111111110111111101110100011111110111010001110100010000000111111101110100011101000100000001110100010000000100000000000000011111110111010001110100010000000111010001000000010000000000000001110100010000000100000000000000010000000000000000000000000000000	iiiiiiiii	256	N	NA	9	iiiiiiiii	256	11111111111111111111111111111110111111111111111011111110111010001111111111111110111111101110100011111110111010001110100010000000111111111111111011111110111010001111111011101000111010001000000011111110111010001110100010000000111010001000000010000000000000001111111111111110111111101110100011111110111010001110100010000000111111101110100011101000100000001110100010000000100000000000000011111110111010001110100010000000111010001000000010000000000000001110100010000000100000000000000010000000000000000000000000000000
1	9	11111111111111111111111111111101111111111111110111111101110101001111111111111101111111011101010011111101110101001101010001000000111111111111110111111101110101001111110111010100110101000100000011111101110101001101010001000000110101000100000001000000000000001111111111111101111111011101010011111101110101001101010001000000111111011101010011010100010000001101010001000000010000000000000011111101110101001101010001000000110101000100000001000000000000001101010001000000010000000000000001000000000000000000000000000000	iiiiiiiia	256	N	NA	9	iiiiiiiia	256	11111111111111111111111111111101111111111111110111111101110101001111111111111101111111011101010011111101110101001101010001000000111111111111110111111101110101001111110111010100110101000100000011111101110101001101010001000000110101000100000001000000000000001111111111111101111111011101010011111101110101001101010001000000111111011101010011010100010000001101010001000000010000000000000011111101110101001101010001000000110101000100000001000000000000001101010001000000010000000000000001000000000000000000000000000000
2	9	11111111111111111111111111111011111111111111101111111011101100101111111111111011111110111011001011111011101100101011001000100000111111111111101111111011101100101111101110110010101100100010000011111011101100101011001000100000101100100010000000100000000000001111111111111011111110111011001011111011101100101011001000100000111110111011001010110010001000001011001000100000001000000000000011111011101100101011001000100000101100100010000000100000000000001011001000100000001000000000000000100000000000000000000000000000	iiiiiiiai	256	N	NA	9	iiiiiiiai	256	11111111111111111111111111111011111111111111101111111011101100101111111111111011111110111011001011111011101100101011001000100000111111111111101111111011101100101111101110110010101100100010000011111011101100101011001000100000101100100010000000100000000000001111111111111011111110111011001011111011101100101011001000100000111110111011001010110010001000001011001000100000001000000000000011111011101100101011001000100000101100100010000000100000000000001011001000100000001000000000000000100000000000000000000000000000
3	9	11111111111111111111111111110111111111111111011111110111011100011111111111110111111101110111000111110111011100010111000100010000111111111111011111110111011100011111011101110001011100010001000011110111011100010111000100010000011100010001000000010000000000001111111111110111111101110111000111110111011100010111000100010000111101110111000101110001000100000111000100010000000100000000000011110111011100010111000100010000011100010001000000010000000000000111000100010000000100000000000000010000000000000000000000000000	iiiiiiiaa	256	N	NA	9	iiiiiiiaa	256	11111111111111111111111111110111111111111111011111110111011100011111111111110111111101110111000111110111011100010111000100010000111111111111011111110111011100011111011101110001011100010001000011110111011100010111000100010000011100010001000000010000000000001111111111110111111101110111000111110111011100010111000100010000111101110111000101110001000100000111000100010000000100000000000011110111011100010111000100010000011100010001000000010000000000000111000100010000000100000000000000010000000000000000000000000000
4	9	11111111111111111111111111101111111111111110111111101111100011101111111111101111111011111000111011101111100011101000111000001000111111111110111111101111100011101110111110001110100011100000100011101111100011101000111000001000100011100000100000001000000000001111111111101111111011111000111011101111100011101000111000001000111011111000111010001110000010001000111000001000000010000000000011101111100011101000111000001000100011100000100000001000000000001000111000001000000010000000000000001000000000000000000000000000	iiiiiiaii	256	N	NA	9	iiiiiiaii	256	11111111111111111111111111101111111111111110111111101111100011101111111111101111111011111000111011101111100011101000111000001000111111111110111111101111100011101110111110001110100011100000100011101111100011101000111000001000100011100000100000001000000000001111111111101111111011111000111011101111100011101000111000001000111011111000111010001110000010001000111000001000000010000000000011101111100011101000111000001000100011100000100000001000000000001000111000001000000010000000000000001000000000000000000000000000
5	9	11111111111111111111111111011111111111111101111111011111010011011111111111011111110111110100110111011111010011010100110100000100111111111101111111011111010011011101111101001101010011010000010011011111010011010100110100000100010011010000010000000100000000001111111111011111110111110100110111011111010011010100110100000100110111110100110101001101000001000100110100000100000001000000000011011111010011010100110100000100010011010000010000000100000000000100110100000100000001000000000000000100000000000000000000000000	iiiiiiaia	256	N	NA	9	iiiiiiaia	256	11111111111111111111111111011111111111111101111111011111010011011111111111011111110111110100110111011111010011010100110100000100111111111101111111011111010011011101111101001101010011010000010011011111010011010100110100000100010011010000010000000100000000001111111111011111110111110100110111011111010011010100110100000100110111110100110101001101000001000100110100000100000001000000000011011111010011010100110100000100010011010000010000000100000000000100110100000100000001000000000000000100000000000000000000000000
6	9	11111111111111111111111110111111111111111011111110111111001010111111111110111111101111110010101110111111001010110010101100000010111111111011111110111111001010111011111100101011001010110000001010111111001010110010101100000010001010110000001000000010000000001111111110111111101111110010101110111111001010110010101100000010101111110010101100101011000000100010101100000010000000100000000010111111001010110010101100000010001010110000001000000010000000000010101100000010000000100000000000000010000000000000000000000000	iiiiiiaai	256	N	NA	9	iiiiiiaai	256	11111111111111111111111110111111111111111011111110111111001010111111111110111111101111110010101110111111001010110010101100000010111111111011111110111111001010111011111100101011001010110000001010111111001010110010101100000010001010110000001000000010000000001111111110111111101111110010101110111111001010110010101100000010101111110010101100101011000000100010101100000010000000100000000010111111001010110010101100000010001010110000001000000010000000000010101100000010000000100000000000000010000000000000000000000000
7	9	11111111111111111111111101111111111111110111111101111111000101111111111101111111011111110001011101111111000101110001011100000001111111110111111101111111000101110111111100010111000101110000000101111111000101110001011100000001000101110000000100000001000000001111111101111111011111110001011101111111000101110001011100000001011111110001011100010111000000010001011100000001000000010000000001111111000101110001011100000001000101110000000100000001000000000001011100000001000000010000000000000001000000000000000000000000	iiiiiiaaa	256	N	NA	9	iiiiiiaaa	256	11111111111111111111111101111111111111110111111101111111000101111111111101111111011111110001011101111111000101110001011100000001111111110111111101111111000101110111111100010111000101110000000101111111000101110001011100000001000101110000000100000001000000001111111101111111011111110001011101111111000101110001011100000001011111110001011100010111000000010001011100000001000000010000000001111111000101110001011100000001000101110000000100000001000000000001011100000001000000010000000000000001000000000000000000000000
8	9	11111111111111111111111011111111111111101111111111101000111111101111111011111111111010001111111011101000111111101000000011101000111111101111111111101000111111101110100011111110100000001110100011101000111111101000000011101000100000001110100000000000100000001111111011111111111010001111111011101000111111101000000011101000111010001111111010000000111010001000000011101000000000001000000011101000111111101000000011101000100000001110100000000000100000001000000011101000000000001000000000000000100000000000000000000000	iiiiiaiii	256	N	NA	9	iiiiiaiii	256	11111111111111111111111011111111111111101111111111101000111111101111111011111111111010001111111011101000111111101000000011101000111111101111111111101000111111101110100011111110100000001110100011101000111111101000000011101000100000001110100000000000100000001111111011111111111010001111111011101000111111101000000011101000111010001111111010000000111010001000000011101000000000001000000011101000111111101000000011101000100000001110100000000000100000001000000011101000000000001000000000000000100000000000000000000000
9	9	11111111111111111111110111111111111111011111111111010100111111011111110111111111110101001111110111010100111111010100000011010100111111011111111111010100111111011101010011111101010000001101010011010100111111010100000011010100010000001101010000000000010000001111110111111111110101001111110111010100111111010100000011010100110101001111110101000000110101000100000011010100000000000100000011010100111111010100000011010100010000001101010000000000010000000100000011010100000000000100000000000000010000000000000000000000	iiiiiaiia	256	N	NA	9	iiiiiaiia	256	11111111111111111111110111111111111111011111111111010100111111011111110111111111110101001111110111010100111111010100000011010100111111011111111111010100111111011101010011111101010000001101010011010100111111010100000011010100010000001101010000000000010000001111110111111111110101001111110111010100111111010100000011010100110101001111110101000000110101000100000011010100000000000100000011010100111111010100000011010100010000001101010000000000010000000100000011010100000000000100000000000000010000000000000000000000
