	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
0	6	1111111011101000111010001000000011111110111010001110100010000000	iiiiii	32	Y	0	5	iiiii	16	11111110111010001110100010000000
1	6	1111111011101000111111101110100011101000100000001110100010000000	iiiiii	32	Y	1	5	iiiii	16	11111110111010001110100010000000
2	6	1111111011111110111010001110100011101000111010001000000010000000	iiiiii	32	Y	2	5	iiiii	16	11111110111010001110100010000000
3	6	1111111111101110111011101000100011101110100010001000100000000000	iiiiii	32	Y	3	5	iiiii	16	11111110111010001110100010000000
4	6	1111111111111010111110101010000011111010101000001010000000000000	iiiiii	32	Y	4	5	iiiii	16	11111110111010001110100010000000
5	6	1111111111111100111111001100000011111100110000001100000000000000	iiiiii	32	Y	5	5	iiiii	16	11111110111010001110100010000000
6	6	1111110111010100110101000100000011111101110101001101010001000000	iiiiia	32	Y	0	5	iiiia	16	11111101110101001101010001000000
7	6	1111110111010100111111011101010011010100010000001101010001000000	iiiiia	32	Y	1	5	iiiia	16	11111101110101001101010001000000
8	6	1111110111111101110101001101010011010100110101000100000001000000	iiiiia	32	Y	2	5	iiiia	16	11111101110101001101010001000000
9	6	1111111111011101110111010100010011011101010001000100010000000000	iiiiia	32	Y	3	5	iiiia	16	11111101110101001101010001000000
10	6	1111111111110101111101010101000011110101010100000101000000000000	iiiiia	32	Y	4	5	iiiia	16	11111101110101001101010001000000
11	6	1111110111010101110101010101010011010101010101000101010001000000	iiiiia	32	Y	5	6	iiiiia	32	1111110111010101110101010101010011010101010101000101010001000000
12	6	1111101110110010101100100010000011111011101100101011001000100000	iiiiai	32	Y	0	5	iiiai	16	11111011101100101011001000100000
13	6	1111101110110010111110111011001010110010001000001011001000100000	iiiiai	32	Y	1	5	iiiai	16	11111011101100101011001000100000
14	6	1111101111111011101100101011001010110010101100100010000000100000	iiiiai	32	Y	2	5	iiiai	16	11111011101100101011001000100000
15	6	1111111110111011101110110010001010111011001000100010001000000000	iiiiai	32	Y	3	5	iiiai	16	11111011101100101011001000100000
16	6	1111101110110011101100110011001010110011001100100011001000100000	iiiiai	32	Y	4	6	iiiiai	32	1111101110110011101100110011001010110011001100100011001000100000
17	6	1111111111110011111100110011000011110011001100000011000000000000	iiiiai	32	Y	5	5	iiiia	16	11111101110101001101010001000000
18	6	1111011101110001011100010001000011110111011100010111000100010000	iiiiaa	32	Y	0	5	iiiaa	16	11110111011100010111000100010000
19	6	1111011101110001111101110111000101110001000100000111000100010000	iiiiaa	32	Y	1	5	iiiaa	16	11110111011100010111000100010000
20	6	1111011111110111011100010111000101110001011100010001000000010000	iiiiaa	32	Y	2	5	iiiaa	16	11110111011100010111000100010000
21	6	1111111101110111011101110001000101110111000100010001000100000000	iiiiaa	32	Y	3	5	iiiaa	16	11110111011100010111000100010000
22	6	1111011101110011011100110011000101110011001100010011000100010000	iiiiaa	32	Y	4	6	iiiiaa	32	1111011101110011011100110011000101110011001100010011000100010000
23	6	1111011101110101011101010101000101110101010100010101000100010000	iiiiaa	32	Y	5	6	iiiiaa	32	1111011101110101011101010101000101110101010100010101000100010000
24	6	1110111110001110100011100000100011101111100011101000111000001000	iiiaii	32	Y	0	5	iiaii	16	11101111100011101000111000001000
25	6	1110111110001110111011111000111010001110000010001000111000001000	iiiaii	32	Y	1	5	iiaii	16	11101111100011101000111000001000
26	6	1110111111101111100011101000111010001110100011100000100000001000	iiiaii	32	Y	2	5	iiaii	16	11101111100011101000111000001000
27	6	1110111110001111100011110000111010001111000011100000111000001000	iiiaii	32	Y	3	6	iiiaii	32	1110111110001111100011110000111010001111000011100000111000001000
28	6	1111111110101111101011110000101010101111000010100000101000000000	iiiaii	32	Y	4	5	iiiai	16	11111011101100101011001000100000
29	6	1111111111001111110011110000110011001111000011000000110000000000	iiiaii	32	Y	5	5	iiiai	16	11111011101100101011001000100000
30	6	1101111101001101010011010000010011011111010011010100110100000100	iiiaia	32	Y	0	5	iiaia	16	11011111010011010100110100000100
31	6	1101111101001101110111110100110101001101000001000100110100000100	iiiaia	32	Y	1	5	iiaia	16	11011111010011010100110100000100
32	6	1101111111011111010011010100110101001101010011010000010000000100	iiiaia	32	Y	2	5	iiaia	16	11011111010011010100110100000100
33	6	1101111101001111010011110000110101001111000011010000110100000100	iiiaia	32	Y	3	6	iiiaia	32	1101111101001111010011110000110101001111000011010000110100000100
34	6	1111111101011111010111110000010101011111000001010000010100000000	iiiaia	32	Y	4	5	iiiaa	16	11110111011100010111000100010000
35	6	1101111101011101010111010100010101011101010001010100010100000100	iiiaia	32	Y	5	6	iiiaia	32	1101111101011101010111010100010101011101010001010100010100000100
36	6	1011111100101011001010110000001010111111001010110010101100000010	iiiaai	32	Y	0	5	iiaai	16	10111111001010110010101100000010
37	6	1011111100101011101111110010101100101011000000100010101100000010	iiiaai	32	Y	1	5	iiaai	16	10111111001010110010101100000010
38	6	1011111110111111001010110010101100101011001010110000001000000010	iiiaai	32	Y	2	5	iiaai	16	10111111001010110010101100000010
39	6	1011111100101111001011110000101100101111000010110000101100000010	iiiaai	32	Y	3	6	iiiaai	32	1011111100101111001011110000101100101111000010110000101100000010
40	6	1011111100111011001110110010001100111011001000110010001100000010	iiiaai	32	Y	4	6	iiiaai	32	1011111100111011001110110010001100111011001000110010001100000010
41	6	1111111100111111001111110000001100111111000000110000001100000000	iiiaai	32	Y	5	5	iiiaa	16	11110111011100010111000100010000
42	6	0111111100010111000101110000000101111111000101110001011100000001	iiiaaa	32	Y	0	5	iiaaa	16	01111111000101110001011100000001
43	6	0111111100010111011111110001011100010111000000010001011100000001	iiiaaa	32	Y	1	5	iiaaa	16	01111111000101110001011100000001
44	6	0111111101111111000101110001011100010111000101110000000100000001	iiiaaa	32	Y	2	5	iiaaa	16	01111111000101110001011100000001
45	6	0111111100011111000111110000011100011111000001110000011100000001	iiiaaa	32	Y	3	6	iiiaaa	32	0111111100011111000111110000011100011111000001110000011100000001
46	6	0111111100110111001101110001001100110111000100110001001100000001	iiiaaa	32	Y	4	6	iiiaaa	32	0111111100110111001101110001001100110111000100110001001100000001
47	6	0111111101010111010101110001010101010111000101010001010100000001	iiiaaa	32	Y	5	6	iiiaaa	32	0111111101010111010101110001010101010111000101010001010100000001
48	6	1110100011111110100000001110100011101000111111101000000011101000	iiaiii	32	Y	0	5	iaiii	16	11101000111111101000000011101000
49	6	1110100011111110111010001111111010000000111010001000000011101000	iiaiii	32	Y	1	5	iaiii	16	11101000111111101000000011101000
50	6	1110100011111111100000001111111010000000111111100000000011101000	iiaiii	32	Y	2	6	iiaiii	32	1110100011111111100000001111111010000000111111100000000011101000
51	6	1110111011111111100010001110111010001000111011100000000010001000	iiaiii	32	Y	3	5	iiaii	16	11101111100011101000111000001000
52	6	1111101011111111101000001111101010100000111110100000000010100000	iiaiii	32	Y	4	5	iiaii	16	11101111100011101000111000001000
53	6	1111110011111111110000001111110011000000111111000000000011000000	iiaiii	32	Y	5	5	iiaii	16	11101111100011101000111000001000
54	6	1101010011111101010000001101010011010100111111010100000011010100	iiaiia	32	Y	0	5	iaiia	16	11010100111111010100000011010100
55	6	1101010011111101110101001111110101000000110101000100000011010100	iiaiia	32	Y	1	5	iaiia	16	11010100111111010100000011010100
56	6	1101010011111111010000001111110101000000111111010000000011010100	iiaiia	32	Y	2	6	iiaiia	32	1101010011111111010000001111110101000000111111010000000011010100
57	6	1101110111111111010001001101110101000100110111010000000001000100	iiaiia	32	Y	3	5	iiaia	16	11011111010011010100110100000100
58	6	1111010111111111010100001111010101010000111101010000000001010000	iiaiia	32	Y	4	5	iiaia	16	11011111010011010100110100000100
59	6	1101010111111101010101001101010101010100110101010100000001010100	iiaiia	32	Y	5	6	iiaiia	32	1101010111111101010101001101010101010100110101010100000001010100
60	6	1011001011111011001000001011001010110010111110110010000010110010	iiaiai	32	Y	0	5	iaiai	16	10110010111110110010000010110010
61	6	1011001011111011101100101111101100100000101100100010000010110010	iiaiai	32	Y	1	5	iaiai	16	10110010111110110010000010110010
62	6	1011001011111111001000001111101100100000111110110000000010110010	iiaiai	32	Y	2	6	iiaiai	32	1011001011111111001000001111101100100000111110110000000010110010
