	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
0	8	1111111111111110111111101110100011111110111010001110100010000000111111101110100011101000100000001110100010000000100000000000000011111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000	iiiiiiii	128	Y	0	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
1	8	1111111111111110111111101110100011111110111010001110100010000000111111111111111011111110111010001111111011101000111010001000000011111110111010001110100010000000111010001000000010000000000000001111111011101000111010001000000011101000100000001000000000000000	iiiiiiii	128	Y	1	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
2	8	1111111111111110111111101110100011111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011111110111010001110100010000000111111101110100011101000100000001110100010000000100000000000000011101000100000001000000000000000	iiiiiiii	128	Y	2	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
3	8	1111111111111110111111111111111011111110111010001111111011101000111111101110100011111110111010001110100010000000111010001000000011111110111010001111111011101000111010001000000011101000100000001110100010000000111010001000000010000000000000001000000000000000	iiiiiiii	128	Y	3	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
4	8	1111111111111111111111101111111011111110111111101110100011101000111111101111111011101000111010001110100011101000100000001000000011111110111111101110100011101000111010001110100010000000100000001110100011101000100000001000000010000000100000000000000000000000	iiiiiiii	128	Y	4	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
5	8	1111111111111111111111111110111011111111111011101110111010001000111111111110111011101110100010001110111010001000100010000000000011111111111011101110111010001000111011101000100010001000000000001110111010001000100010000000000010001000000000000000000000000000	iiiiiiii	128	Y	5	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
6	8	1111111111111111111111111111101011111111111110101111101010100000111111111111101011111010101000001111101010100000101000000000000011111111111110101111101010100000111110101010000010100000000000001111101010100000101000000000000010100000000000000000000000000000	iiiiiiii	128	Y	6	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
7	8	1111111111111111111111111111110011111111111111001111110011000000111111111111110011111100110000001111110011000000110000000000000011111111111111001111110011000000111111001100000011000000000000001111110011000000110000000000000011000000000000000000000000000000	iiiiiiii	128	Y	7	7	iiiiiii	64	11111111111111101111111011101000111111101110100011101000100000001111111011101000111010001000000011101000100000001000000000000000
8	8	1111111111111101111111011101010011111101110101001101010001000000111111011101010011010100010000001101010001000000010000000000000011111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000	iiiiiiia	128	Y	0	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
9	8	1111111111111101111111011101010011111101110101001101010001000000111111111111110111111101110101001111110111010100110101000100000011111101110101001101010001000000110101000100000001000000000000001111110111010100110101000100000011010100010000000100000000000000	iiiiiiia	128	Y	1	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
10	8	1111111111111101111111011101010011111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011111101110101001101010001000000111111011101010011010100010000001101010001000000010000000000000011010100010000000100000000000000	iiiiiiia	128	Y	2	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
11	8	1111111111111101111111111111110111111101110101001111110111010100111111011101010011111101110101001101010001000000110101000100000011111101110101001111110111010100110101000100000011010100010000001101010001000000110101000100000001000000000000000100000000000000	iiiiiiia	128	Y	3	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
12	8	1111111111111111111111011111110111111101111111011101010011010100111111011111110111010100110101001101010011010100010000000100000011111101111111011101010011010100110101001101010001000000010000001101010011010100010000000100000001000000010000000000000000000000	iiiiiiia	128	Y	4	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
13	8	1111111111111111111111111101110111111111110111011101110101000100111111111101110111011101010001001101110101000100010001000000000011111111110111011101110101000100110111010100010001000100000000001101110101000100010001000000000001000100000000000000000000000000	iiiiiiia	128	Y	5	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
14	8	1111111111111111111111111111010111111111111101011111010101010000111111111111010111110101010100001111010101010000010100000000000011111111111101011111010101010000111101010101000001010000000000001111010101010000010100000000000001010000000000000000000000000000	iiiiiiia	128	Y	6	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
15	8	1111111111111101111111011101010111111101110101011101010101010100111111011101010111010101010101001101010101010100010101000100000011111101110101011101010101010100110101010101010001010100010000001101010101010100010101000100000001010100010000000100000000000000	iiiiiiia	128	Y	7	8	iiiiiiia	128	1111111111111101111111011101010111111101110101011101010101010100111111011101010111010101010101001101010101010100010101000100000011111101110101011101010101010100110101010101010001010100010000001101010101010100010101000100000001010100010000000100000000000000
16	8	1111111111111011111110111011001011111011101100101011001000100000111110111011001010110010001000001011001000100000001000000000000011111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000	iiiiiiai	128	Y	0	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
17	8	1111111111111011111110111011001011111011101100101011001000100000111111111111101111111011101100101111101110110010101100100010000011111011101100101011001000100000101100100010000000100000000000001111101110110010101100100010000010110010001000000010000000000000	iiiiiiai	128	Y	1	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
18	8	1111111111111011111110111011001011111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000011111011101100101011001000100000111110111011001010110010001000001011001000100000001000000000000010110010001000000010000000000000	iiiiiiai	128	Y	2	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
19	8	1111111111111011111111111111101111111011101100101111101110110010111110111011001011111011101100101011001000100000101100100010000011111011101100101111101110110010101100100010000010110010001000001011001000100000101100100010000000100000000000000010000000000000	iiiiiiai	128	Y	3	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
20	8	1111111111111111111110111111101111111011111110111011001010110010111110111111101110110010101100101011001010110010001000000010000011111011111110111011001010110010101100101011001000100000001000001011001010110010001000000010000000100000001000000000000000000000	iiiiiiai	128	Y	4	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
21	8	1111111111111111111111111011101111111111101110111011101100100010111111111011101110111011001000101011101100100010001000100000000011111111101110111011101100100010101110110010001000100010000000001011101100100010001000100000000000100010000000000000000000000000	iiiiiiai	128	Y	5	7	iiiiiai	64	11111111111110111111101110110010111110111011001010110010001000001111101110110010101100100010000010110010001000000010000000000000
22	8	1111111111111011111110111011001111111011101100111011001100110010111110111011001110110011001100101011001100110010001100100010000011111011101100111011001100110010101100110011001000110010001000001011001100110010001100100010000000110010001000000010000000000000	iiiiiiai	128	Y	6	8	iiiiiiai	128	1111111111111011111110111011001111111011101100111011001100110010111110111011001110110011001100101011001100110010001100100010000011111011101100111011001100110010101100110011001000110010001000001011001100110010001100100010000000110010001000000010000000000000
23	8	1111111111111111111111111111001111111111111100111111001100110000111111111111001111110011001100001111001100110000001100000000000011111111111100111111001100110000111100110011000000110000000000001111001100110000001100000000000000110000000000000000000000000000	iiiiiiai	128	Y	7	7	iiiiiia	64	11111111111111011111110111010100111111011101010011010100010000001111110111010100110101000100000011010100010000000100000000000000
24	8	1111111111110111111101110111000111110111011100010111000100010000111101110111000101110001000100000111000100010000000100000000000011111111111101111111011101110001111101110111000101110001000100001111011101110001011100010001000001110001000100000001000000000000	iiiiiiaa	128	Y	0	7	iiiiiaa	64	11111111111101111111011101110001111101110111000101110001000100001111011101110001011100010001000001110001000100000001000000000000
