	k	BF	sign	bias	self_loop	self_loop_index	Real_k	Real_sign	real_bias	EF_BF
0	4	1110100011101000	iiii	8	Y	0	3	iii	4	11101000
1	4	1110111010001000	iiii	8	Y	1	3	iii	4	11101000
2	4	1111101010100000	iiii	8	Y	2	3	iii	4	11101000
3	4	1111110011000000	iiii	8	Y	3	3	iii	4	11101000
4	4	1101010011010100	iiia	8	Y	0	3	iia	4	11010100
5	4	1101110101000100	iiia	8	Y	1	3	iia	4	11010100
6	4	1111010101010000	iiia	8	Y	2	3	iia	4	11010100
7	4	1101010101010100	iiia	8	Y	3	4	iiia	8	1101010101010100
8	4	1011001010110010	iiai	8	Y	0	3	iai	4	10110010
9	4	1011101100100010	iiai	8	Y	1	3	iai	4	10110010
10	4	1011001100110010	iiai	8	Y	2	4	iiai	8	1011001100110010
11	4	1111001100110000	iiai	8	Y	3	3	iia	4	11010100
12	4	0111000101110001	iiaa	8	Y	0	3	iaa	4	01110001
13	4	0111011100010001	iiaa	8	Y	1	3	iaa	4	01110001
14	4	0111001100110001	iiaa	8	Y	2	4	iiaa	8	0111001100110001
15	4	0111010101010001	iiaa	8	Y	3	4	iiaa	8	0111010101010001
16	4	1000111010001110	iaii	8	Y	0	3	aii	4	10001110
17	4	1000111100001110	iaii	8	Y	1	4	iaii	8	1000111100001110
18	4	1010111100001010	iaii	8	Y	2	3	iai	4	10110010
19	4	1100111100001100	iaii	8	Y	3	3	iai	4	10110010
20	4	0100110101001101	iaia	8	Y	0	3	aia	4	01001101
21	4	0100111100001101	iaia	8	Y	1	4	iaia	8	0100111100001101
22	4	0101111100000101	iaia	8	Y	2	3	iaa	4	01110001
23	4	0101110101000101	iaia	8	Y	3	4	iaia	8	0101110101000101
24	4	0010101100101011	iaai	8	Y	0	3	aai	4	00101011
25	4	0010111100001011	iaai	8	Y	1	4	iaai	8	0010111100001011
26	4	0011101100100011	iaai	8	Y	2	4	iaai	8	0011101100100011
27	4	0011111100000011	iaai	8	Y	3	3	iaa	4	01110001
28	4	0001011100010111	iaaa	8	Y	0	3	aaa	4	00010111
29	4	0001111100000111	iaaa	8	Y	1	4	iaaa	8	0001111100000111
30	4	0011011100010011	iaaa	8	Y	2	4	iaaa	8	0011011100010011
31	4	0101011100010101	iaaa	8	Y	3	4	iaaa	8	0101011100010101
32	4	1000000011111110	aiii	8	Y	0	4	aiii	8	1000000011111110
33	4	1000100011101110	aiii	8	Y	1	3	aii	4	10001110
34	4	1010000011111010	aiii	8	Y	2	3	aii	4	10001110
35	4	1100000011111100	aiii	8	Y	3	3	aii	4	10001110
36	4	0100000011111101	aiia	8	Y	0	4	aiia	8	0100000011111101
37	4	0100010011011101	aiia	8	Y	1	3	aia	4	01001101
38	4	0101000011110101	aiia	8	Y	2	3	aia	4	01001101
39	4	0101010011010101	aiia	8	Y	3	4	aiia	8	0101010011010101
40	4	0010000011111011	aiai	8	Y	0	4	aiai	8	0010000011111011
41	4	0010001010111011	aiai	8	Y	1	3	aai	4	00101011
42	4	0011001010110011	aiai	8	Y	2	4	aiai	8	0011001010110011
43	4	0011000011110011	aiai	8	Y	3	3	aia	4	01001101
44	4	0001000011110111	aiaa	8	Y	0	4	aiaa	8	0001000011110111
45	4	0001000101110111	aiaa	8	Y	1	3	aaa	4	00010111
46	4	0011000101110011	aiaa	8	Y	2	4	aiaa	8	0011000101110011
47	4	0101000101110101	aiaa	8	Y	3	4	aiaa	8	0101000101110101
48	4	0000100011101111	aaii	8	Y	0	4	aaii	8	0000100011101111
49	4	0000111010001111	aaii	8	Y	1	4	aaii	8	0000111010001111
50	4	0000101010101111	aaii	8	Y	2	3	aai	4	00101011
51	4	0000110011001111	aaii	8	Y	3	3	aai	4	00101011
52	4	0000010011011111	aaia	8	Y	0	4	aaia	8	0000010011011111
53	4	0000110101001111	aaia	8	Y	1	4	aaia	8	0000110101001111
