from	to	sign
v_Nrg1_HAGs	v_Brg1	i
v_Farnesol	v_Cyr1	i
v_Temperature	v_Cyr1	a
v_Brg1	v_EFG1_T	a
v_Efg1_active	v_EFG1_T	i
v_Rim8	v_ESCRT	a
v_EFG1_T	v_Efg1	a
v_ESCRT	v_Efg1_active	a
v_Efg1	v_Efg1_active	a
v_cAMP_PKA	v_Efg1_active	a
v_Brg1	v_HAG_T	a
v_Nrg1_HAGs	v_HAG_T	i
v_Ume6	v_HAG_T	a
v_HDACs	v_HATs	i
v_Efg1_active	v_HATs	a
v_Brg1	v_HDACs	a
v_Brg1	v_NRG1_T	i
v_ESCRT	v_NRG1_T	i
v_Efg1_active	v_NRG1_T	i
v_Ume6	v_NRG1_T	i
v_cAMP_PKA	v_NRG1_T	i
v_hyphal_initiation	v_NRG1_T	a
v_HDACs	v_Nrg1_HAGs	i
v_NRG1_T	v_Nrg1_HAGs	a
v_HATs	v_Nrg1_HAGs	a
v_pH	v_Rim8	a
v_Brg1	v_Ume6	a
v_Nrg1_HAGs	v_Ume6	i
v_Cyr1	v_cAMP_PKA	a
v_Brg1	v_hyphal_initiation	a
v_Nrg1_HAGs	v_hyphal_initiation	i
v_hyphal_initiation	v_hyphal_initiation	a
v_HATs	v_hyphal_initiation	a
v_Nrg1_HAGs	v_hyphal_maintenance	i
v_Ume6	v_hyphal_maintenance	a
v_hyphal_initiation	v_hyphal_maintenance	a
v_pH	v_pH	a
v_Farnesol	v_Farnesol	a
v_Temperature	v_Temperature	a
