from	to	sign
v_EMTreg	v_AKT1	a
v_Ecadh	v_AKT1	i
v_GF	v_AKT1	a
v_Notch_pthw	v_AKT1	a
v_TGFb_pthw	v_AKT1	a
v_WNT_pthw	v_AKT1	a
v_miRNA	v_AKT1	i
v_p53	v_AKT1	i
v_p53	v_AKT2	i
v_EMTreg	v_AKT2	a
v_miRNA	v_AKT2	i
v_AKT1	v_Apoptosis	i
v_EMTreg	v_Apoptosis	i
v_ERK_pthw	v_Apoptosis	i
v_miRNA	v_Apoptosis	a
v_p53	v_Apoptosis	a
v_p63_73	v_Apoptosis	a
v_AKT1	v_CCA	i
v_AKT2	v_CCA	a
v_EMTreg	v_CCA	a
v_ERK_pthw	v_CCA	i
v_Notch_pthw	v_CCA	a
v_TGFb_pthw	v_CCA	a
v_miRNA	v_CCA	a
v_p53	v_CCA	a
v_p63_73	v_CCA	a
v_EMTreg	v_EMT	a
v_Ecadh	v_EMT	i
v_EMTreg	v_EMTreg	a
v_Notch_pthw	v_EMTreg	a
v_WNT_pthw	v_EMTreg	a
v_miRNA	v_EMTreg	i
v_p53	v_EMTreg	i
v_AKT1	v_ERK_pthw	i
v_EMTreg	v_ERK_pthw	a
v_GF	v_ERK_pthw	a
v_Notch_pthw	v_ERK_pthw	a
v_TGFb_pthw	v_ERK_pthw	a
v_AKT2	v_Ecadh	i
v_EMTreg	v_Ecadh	i
v_GF	v_GF	a
v_EMTreg	v_GF	a
v_Ecadh	v_GF	i
v_EMTreg	v_Invasion	a
v_TGFb_pthw	v_Invasion	a
v_WNT_pthw	v_Invasion	a
v_Migration	v_Metastasis	a
v_AKT1	v_Migration	i
v_AKT2	v_Migration	a
v_EMT	v_Migration	a
v_ERK_pthw	v_Migration	a
v_Invasion	v_Migration	a
v_miRNA	v_Migration	i
v_p63_73	v_Migration	i
v_p53	v_Notch_pthw	i
v_p63_73	v_Notch_pthw	i
v_ECMicroenv	v_Notch_pthw	a
v_miRNA	v_Notch_pthw	i
v_ECMicroenv	v_TGFb_pthw	a
v_Notch_pthw	v_TGFb_pthw	a
v_WNT_pthw	v_TGFb_pthw	i
v_miRNA	v_TGFb_pthw	i
v_AKT1	v_WNT_pthw	i
v_EMTreg	v_WNT_pthw	i
v_Ecadh	v_WNT_pthw	i
v_Notch_pthw	v_WNT_pthw	i
v_WNT_pthw	v_WNT_pthw	i
v_miRNA	v_WNT_pthw	i
v_p53	v_WNT_pthw	i
v_p63_73	v_WNT_pthw	i
v_AKT1	v_miRNA	i
v_AKT2	v_miRNA	i
v_EMTreg	v_miRNA	i
v_p53	v_miRNA	a
v_p63_73	v_miRNA	a
v_AKT1	v_p53	i
v_AKT2	v_p53	i
v_EMTreg	v_p53	i
v_Notch_pthw	v_p53	a
v_WNT_pthw	v_p53	a
v_p63_73	v_p53	i
v_DNAdamage	v_p53	a
v_AKT1	v_p63_73	i
v_AKT2	v_p63_73	i
v_EMTreg	v_p63_73	i
v_Notch_pthw	v_p63_73	i
v_p53	v_p63_73	i
v_DNAdamage	v_p63_73	a
v_DNAdamage	v_DNAdamage	a
v_ECMicroenv	v_ECMicroenv	a
