from	to	sign
v_CycB	v_Cdc20	a
v_Cdc20	v_Cdh1	a
v_p27	v_Cdh1	a
v_CycA	v_Cdh1	i
v_CycB	v_Cdh1	i
v_Cdc20	v_CycA	i
v_Cdh1	v_CycA	i
v_CycA	v_CycA	a
v_E2F	v_CycA	a
v_Rb	v_CycA	i
v_UbcH10	v_CycA	i
v_Cdc20	v_CycB	i
v_Cdh1	v_CycB	i
v_E2F	v_CycE	a
v_Rb	v_CycE	i
v_p27	v_E2F	a
v_CycA	v_E2F	i
v_CycB	v_E2F	i
v_Rb	v_E2F	i
v_CycA	v_Rb	i
v_CycB	v_Rb	i
v_CycE	v_Rb	i
v_p27	v_Rb	a
v_CycD	v_Rb	i
v_Cdc20	v_UbcH10	a
v_Cdh1	v_UbcH10	i
v_CycA	v_UbcH10	a
v_CycB	v_UbcH10	a
v_UbcH10	v_UbcH10	a
v_CycA	v_p27	i
v_CycB	v_p27	i
v_CycE	v_p27	i
v_p27	v_p27	a
v_CycD	v_p27	i
v_CycD	v_CycD	a
