network_index	model_no	original_mod_jaccard	nonNCF_to_NCF_modi_model_jaccard	att_recovery_score_modi_model
212	0	0.375	0.3333333333333333	0.8888888888888888
212	1	0.375	0.3333333333333333	0.8888888888888888
212	2	0.375	0.2727272727272727	0.7272727272727272
212	3	0.375	0.5	1.3333333333333333
212	4	0.375	0.21428571428571427	0.5714285714285714
212	5	0.375	0.2727272727272727	0.7272727272727272
212	6	0.375	0.20689655172413793	0.5517241379310345
212	7	0.375	0.21428571428571427	0.5714285714285714
212	8	0.375	0.24	0.64
212	9	0.375	0.75	2.0
212	10	0.375	0.21428571428571427	0.5714285714285714
212	11	0.375	0.5	1.3333333333333333
212	12	0.375	0.3157894736842105	0.8421052631578947
212	13	0.375	0.17142857142857143	0.45714285714285713
212	14	0.375	0.20689655172413793	0.5517241379310345
212	15	0.375	0.5	1.3333333333333333
212	16	0.375	0.16666666666666666	0.4444444444444444
212	17	0.375	0.1875	0.5
212	18	0.375	0.15384615384615385	0.4102564102564103
212	19	0.375	0.18181818181818182	0.48484848484848486
212	20	0.375	0.5	1.3333333333333333
212	21	0.375	0.16666666666666666	0.4444444444444444
212	22	0.375	0.3333333333333333	0.8888888888888888
212	23	0.375	0.1875	0.5
212	24	0.375	0.16666666666666666	0.4444444444444444
212	25	0.375	0.75	2.0
212	26	0.375	0.18181818181818182	0.48484848484848486
212	27	0.375	0.2727272727272727	0.7272727272727272
212	28	0.375	0.2727272727272727	0.7272727272727272
212	29	0.375	0.1875	0.5
212	30	0.375	0.24	0.64
212	31	0.375	0.5	1.3333333333333333
212	32	0.375	0.3157894736842105	0.8421052631578947
212	33	0.375	0.2	0.5333333333333333
212	34	0.375	0.16666666666666666	0.4444444444444444
212	35	0.375	0.3157894736842105	0.8421052631578947
212	36	0.375	0.16666666666666666	0.4444444444444444
212	37	0.375	0.15384615384615385	0.4102564102564103
212	38	0.375	0.18181818181818182	0.48484848484848486
212	39	0.375	0.16666666666666666	0.4444444444444444
212	40	0.375	0.5	1.3333333333333333
212	41	0.375	0.4	1.0666666666666667
212	42	0.375	0.15384615384615385	0.4102564102564103
212	43	0.375	0.15384615384615385	0.4102564102564103
212	44	0.375	0.15384615384615385	0.4102564102564103
212	45	0.375	0.18181818181818182	0.48484848484848486
212	46	0.375	0.15384615384615385	0.4102564102564103
212	47	0.375	0.15384615384615385	0.4102564102564103
