	Node	No. of inputs	EF	UF	NCF
1	v_ATP	1	Yes	Yes	Yes
2	v_BAX	2	Yes	Yes	Yes
3	v_BCL2	1	Yes	Yes	Yes
4	v_CASP3	2	Yes	Yes	Yes
5	v_CASP8	4	Yes	Yes	Yes
6	v_Cyt_c	1	Yes	Yes	Yes
7	v_DISC_FAS	2	Yes	Yes	Yes
8	v_DISC_TNF	2	Yes	Yes	Yes
9	v_IKK	1	Yes	Yes	Yes
10	v_MOMP	2	Yes	Yes	Yes
11	v_MPT	2	Yes	Yes	Yes
12	v_NFkB	2	Yes	Yes	Yes
13	v_NonACD	1	Yes	Yes	Yes
14	v_RIP1	3	Yes	Yes	Yes
15	v_RIP1k	1	Yes	Yes	Yes
16	v_RIP1ub	2	Yes	Yes	Yes
17	v_ROS	3	Yes	Yes	Yes
18	v_SMAC	1	Yes	Yes	Yes
19	v_TNFR	1	Yes	Yes	Yes
20	v_XIAP	2	Yes	Yes	Yes
21	v_apoptosis	1	Yes	Yes	Yes
22	v_apoptosome	3	Yes	Yes	Yes
23	v_cFLIP	1	Yes	Yes	Yes
24	v_cIAP	3	Yes	Yes	Yes
25	v_survival	1	Yes	Yes	Yes
26	v_FADD	1	Yes	Yes	Yes
27	v_TNF	1	Yes	Yes	Yes
28	v_FASL	1	Yes	Yes	Yes
