from	to	sign
v_MPT	v_ATP	i
v_BCL2	v_BAX	i
v_CASP8	v_BAX	a
v_NFkB	v_BCL2	a
v_XIAP	v_CASP3	i
v_apoptosome	v_CASP3	a
v_CASP3	v_CASP8	a
v_DISC_TNF	v_CASP8	a
v_cFLIP	v_CASP8	i
v_DISC_FAS	v_CASP8	a
v_MOMP	v_Cyt_c	a
v_FADD	v_DISC_FAS	a
v_FASL	v_DISC_FAS	a
v_FADD	v_DISC_TNF	a
v_TNFR	v_DISC_TNF	a
v_RIP1ub	v_IKK	a
v_BAX	v_MOMP	a
v_MPT	v_MOMP	a
v_ROS	v_MPT	a
v_BCL2	v_MPT	i
v_IKK	v_NFkB	a
v_CASP3	v_NFkB	i
v_ATP	v_NonACD	i
v_TNFR	v_RIP1	a
v_CASP8	v_RIP1	i
v_DISC_FAS	v_RIP1	a
v_RIP1	v_RIP1k	a
v_RIP1	v_RIP1ub	a
v_cIAP	v_RIP1ub	a
v_MPT	v_ROS	a
v_NFkB	v_ROS	i
v_RIP1k	v_ROS	a
v_MOMP	v_SMAC	a
v_TNF	v_TNFR	a
v_SMAC	v_XIAP	i
v_NFkB	v_XIAP	a
v_CASP3	v_apoptosis	a
v_ATP	v_apoptosome	a
v_XIAP	v_apoptosome	i
v_Cyt_c	v_apoptosome	a
v_NFkB	v_cFLIP	a
v_SMAC	v_cIAP	i
v_NFkB	v_cIAP	a
v_cIAP	v_cIAP	a
v_NFkB	v_survival	a
v_FADD	v_FADD	a
v_TNF	v_TNF	a
v_FASL	v_FASL	a
