from	to	sign
v_DNA_Damage	v_ATM	a
v_HDAC1	v_ATM	i
v_Wip1	v_ATM	i
v_E2F1	v_ATM	a
v_Caspase3	v_Apoptosis	a
v_p53_K	v_BAX	a
v_BCL2	v_BAX	i
v_PUMA	v_BCL2	i
v_miR_34a	v_BCL2	i
v_BCL2	v_Caspase3	i
v_BAX	v_Caspase3	a
v_p21	v_Caspase3	i
v_ATM	v_Cdc25A	i
v_miR_34a	v_Cdc25A	i
v_p38MAPK	v_Cdc25A	i
v_ATM	v_E2F1	a
v_Cdc25A	v_E2F1	a
v_RB	v_E2F1	i
v_Sirt_1	v_E2F1	i
v_c_Myc	v_E2F1	a
v_miR_34a	v_E2F1	i
v_DNA_Damage	v_HDAC1	i
v_miR_34a	v_HDAC1	i
v_Sirt_1	v_HDAC1	i
v_ATM	v_Mdm2	i
v_p53	v_Mdm2	a
v_Wip1	v_Mdm2	i
v_p53_K	v_PUMA	a
v_p53	v_Proliferation	i
v_E2F1	v_Proliferation	a
v_cdk2_CycE	v_RB	i
v_cdk46_CycD	v_RB	i
v_p21	v_SIPS	a
v_E2F1	v_SIPS	i
v_miR_34a	v_Sirt_1	i
v_E2F1	v_Sirt_1	a
v_HDAC1	v_Sirt_1	i
v_p53_A	v_Wip1	a
v_E2F1	v_c_Myc	a
v_RB	v_c_Myc	i
v_miR_34a	v_c_Myc	i
v_p21	v_c_Myc	i
v_p38MAPK	v_c_Myc	a
v_miR_34a	v_cdk2_CycE	i
v_p21	v_cdk2_CycE	i
v_Cdc25A	v_cdk2_CycE	a
v_E2F1	v_cdk2_CycE	a
v_miR_34a	v_cdk46_CycD	i
v_p21	v_cdk46_CycD	i
v_Cdc25A	v_cdk46_CycD	a
v_ATM	v_miR_34a	a
v_Caspase3	v_p21	i
v_HDAC1	v_p21	i
v_c_Myc	v_p21	i
v_p38MAPK	v_p21	a
v_p53_A	v_p21	a
v_ATM	v_p38MAPK	a
v_Wip1	v_p38MAPK	i
v_ATM	v_p53	a
v_Mdm2	v_p53	i
v_p38MAPK	v_p53	a
v_p53_K	v_p53_A	i
v_Sirt_1	v_p53_A	i
v_p53	v_p53_A	a
v_p53_INP1	v_p53_A	i
v_p53_K	v_p53_INP1	a
v_p53_A	v_p53_INP1	a
v_Sirt_1	v_p53_K	i
v_p53	v_p53_K	a
v_Wip1	v_p53_K	i
v_p53_A	v_p53_K	i
v_DNA_Damage	v_DNA_Damage	a
