	Node	No. of inputs	EF	UF	NCF
1	v_ATM	4	Yes	Yes	Yes
2	v_Apoptosis	1	Yes	Yes	Yes
3	v_BAX	2	Yes	Yes	Yes
4	v_BCL2	2	Yes	Yes	Yes
5	v_Caspase3	3	Yes	Yes	Yes
6	v_Cdc25A	3	Yes	Yes	Yes
7	v_E2F1	6	Yes	Yes	Yes
8	v_HDAC1	3	Yes	Yes	Yes
9	v_Mdm2	3	Yes	Yes	Yes
10	v_PUMA	1	Yes	Yes	Yes
11	v_Proliferation	2	Yes	Yes	Yes
12	v_RB	2	Yes	Yes	Yes
13	v_SIPS	2	Yes	Yes	Yes
14	v_Sirt_1	3	Yes	Yes	Yes
15	v_Wip1	1	Yes	Yes	Yes
16	v_c_Myc	5	Yes	Yes	Yes
17	v_cdk2_CycE	4	Yes	Yes	Yes
18	v_cdk46_CycD	3	Yes	Yes	Yes
19	v_miR_34a	1	Yes	Yes	Yes
20	v_p21	5	Yes	Yes	Yes
21	v_p38MAPK	2	Yes	Yes	Yes
22	v_p53	3	Yes	Yes	Yes
23	v_p53_A	4	Yes	Yes	Yes
24	v_p53_INP1	2	Yes	Yes	Yes
25	v_p53_K	4	Yes	Yes	Yes
26	v_DNA_Damage	1	Yes	Yes	Yes
