"network_number"	"model_number"	"attractor_number"	"attractor_length"	"attractor_basin_size"
0	0	1	1	431
0	0	2	1	1696
0	0	3	1	210
0	0	4	1	11
0	0	5	1	174
0	0	6	1	270
0	0	7	1	24
0	0	8	3	1280
1	0	1	1	1104
1	0	2	2	1029
1	0	3	3	1963
2	0	1	1	16
2	0	2	2	70
2	0	3	4	201
2	0	4	8	1109
2	0	5	9	1697
2	0	6	9	1003
3	0	1	2	18
3	0	2	2	23
3	0	3	3	830
3	0	4	4	3225
4	0	1	1	4096
5	0	1	1	3
5	0	2	1	41
5	0	3	1	174
5	0	4	2	3844
5	0	5	2	34
6	0	1	1	4096
7	0	1	1	1159
7	0	2	1	290
7	0	3	2	1175
7	0	4	2	149
7	0	5	4	1040
7	0	6	4	283
8	0	1	1	2330
8	0	2	1	324
8	0	3	2	1442
9	0	1	2	3904
9	0	2	2	76
9	0	3	3	116
10	0	1	1	852
10	0	2	1	1788
10	0	3	1	219
10	0	4	1	46
10	0	5	1	222
10	0	6	2	302
10	0	7	4	427
10	0	8	4	240
11	0	1	4	1260
11	0	2	8	2836
12	0	1	1	1328
12	0	2	1	1038
12	0	3	1	957
12	0	4	1	139
12	0	5	1	3
12	0	6	2	141
12	0	7	2	230
12	0	8	2	234
12	0	9	2	26
13	0	1	1	3
13	0	2	1	338
13	0	3	3	1565
13	0	4	3	1869
13	0	5	4	321
14	0	1	1	1339
14	0	2	1	33
14	0	3	2	2724
15	0	1	2	4096
16	0	1	1	1292
16	0	2	1	55
16	0	3	1	14
16	0	4	1	1
16	0	5	2	560
16	0	6	2	616
16	0	7	2	807
16	0	8	2	40
16	0	9	2	46
16	0	10	4	278
16	0	11	4	387
17	0	1	1	33
17	0	2	1	2
17	0	3	1	20
17	0	4	2	164
17	0	5	3	303
17	0	6	3	140
17	0	7	3	88
17	0	8	4	1292
17	0	9	4	1409
17	0	10	4	88
17	0	11	4	557
18	0	1	1	92
18	0	2	2	1182
18	0	3	3	2822
19	0	1	2	3531
19	0	2	2	565
20	0	1	1	499
20	0	2	1	666
20	0	3	1	1029
20	0	4	1	986
20	0	5	1	38
20	0	6	1	42
20	0	7	1	104
20	0	8	2	732
21	0	1	2	131
21	0	2	2	270
21	0	3	2	27
21	0	4	4	1069
21	0	5	4	273
21	0	6	6	2326
22	0	1	1	4096
23	0	1	1	3936
23	0	2	2	160
24	0	1	6	4096
25	0	1	2	2083
25	0	2	12	2013
26	0	1	1	1186
26	0	2	1	11
26	0	3	3	2679
26	0	4	3	220
27	0	1	4	2765
27	0	2	4	417
27	0	3	5	914
28	0	1	1	4096
29	0	1	1	3978
29	0	2	1	32
29	0	3	7	86
30	0	1	1	4096
31	0	1	1	312
31	0	2	4	2572
31	0	3	4	1212
32	0	1	2	353
32	0	2	2	2707
32	0	3	2	1036
33	0	1	1	2439
33	0	2	2	1591
33	0	3	2	66
34	0	1	2	477
34	0	2	2	2235
34	0	3	2	1384
35	0	1	1	4040
35	0	2	2	56
36	0	1	1	126
36	0	2	1	120
36	0	3	2	585
36	0	4	2	312
36	0	5	3	152
36	0	6	4	382
36	0	7	4	2419
37	0	1	1	3085
37	0	2	2	599
37	0	3	2	159
37	0	4	2	25
37	0	5	2	118
37	0	6	2	110
38	0	1	1	736
38	0	2	1	191
38	0	3	1	3141
38	0	4	1	14
38	0	5	1	12
38	0	6	1	2
39	0	1	1	198
39	0	2	1	218
39	0	3	2	2297
39	0	4	2	938
39	0	5	2	445
40	0	1	1	640
40	0	2	2	1196
40	0	3	2	24
40	0	4	2	912
40	0	5	4	512
40	0	6	5	812
41	0	1	5	4096
42	0	1	1	3583
42	0	2	1	503
42	0	3	1	1
42	0	4	2	9
43	0	1	2	4096
44	0	1	1	4016
44	0	2	1	80
45	0	1	3	539
45	0	2	4	3557
46	0	1	10	4096
47	0	1	2	4085
47	0	2	2	11
48	0	1	1	3658
48	0	2	1	48
48	0	3	2	390
49	0	1	1	3745
49	0	2	2	351
