	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	0	0	[0, 1, 2, 3, 4, 5]	constant	0	0
1	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	1	0	[0, 1, 2, 3, 4, 5]	constant	0	0
2	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	2	0	[0, 1, 2, 3, 4, 5]	constant	0	0
3	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	3	0	[0, 1, 2, 3, 4, 5]	constant	0	0
4	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	4	0	[0, 1, 2, 3, 4, 5]	constant	0	0
5	6	0000000000000000000000000000000000000000000000000000000000000000	iiiiii	0	Y	5	0	[0, 1, 2, 3, 4, 5]	constant	0	0
6	6	0100000000000000000000000000000001000000000000000000000000000000	iiiiia	2	Y	0	5	[0]	iiiia	1	01000000000000000000000000000000
7	6	0100000000000000010000000000000000000000000000000000000000000000	iiiiia	2	Y	1	5	[1]	iiiia	1	01000000000000000000000000000000
8	6	0100000001000000000000000000000000000000000000000000000000000000	iiiiia	2	Y	2	5	[2]	iiiia	1	01000000000000000000000000000000
9	6	0100010000000000000000000000000000000000000000000000000000000000	iiiiia	2	Y	3	5	[3]	iiiia	1	01000000000000000000000000000000
10	6	0101000000000000000000000000000000000000000000000000000000000000	iiiiia	2	Y	4	5	[4]	iiiia	1	01000000000000000000000000000000
11	6	0101010001000000010000000000000001000000000000000000000000000000	iiiiia	6	Y	5	6	[]	iiiiia	6	0101010001000000010000000000000001000000000000000000000000000000
12	6	0010000000000000000000000000000000100000000000000000000000000000	iiiiai	2	Y	0	5	[0]	iiiai	1	00100000000000000000000000000000
13	6	0010000000000000001000000000000000000000000000000000000000000000	iiiiai	2	Y	1	5	[1]	iiiai	1	00100000000000000000000000000000
14	6	0010000000100000000000000000000000000000000000000000000000000000	iiiiai	2	Y	2	5	[2]	iiiai	1	00100000000000000000000000000000
15	6	0010001000000000000000000000000000000000000000000000000000000000	iiiiai	2	Y	3	5	[3]	iiiai	1	00100000000000000000000000000000
16	6	0011001000100000001000000000000000100000000000000000000000000000	iiiiai	6	Y	4	6	[]	iiiiai	6	0011001000100000001000000000000000100000000000000000000000000000
17	6	0011000000000000000000000000000000000000000000000000000000000000	iiiiai	2	Y	5	5	[5]	iiiia	1	01000000000000000000000000000000
18	6	0111000100010000000100000000000001110001000100000001000000000000	iiiiaa	12	Y	0	5	[0]	iiiaa	6	01110001000100000001000000000000
19	6	0111000100010000011100010001000000010000000000000001000000000000	iiiiaa	12	Y	1	5	[1]	iiiaa	6	01110001000100000001000000000000
20	6	0111000101110001000100000001000000010000000100000000000000000000	iiiiaa	12	Y	2	5	[2]	iiiaa	6	01110001000100000001000000000000
21	6	0111011100010001000100010000000000010001000000000000000000000000	iiiiaa	12	Y	3	5	[3]	iiiaa	6	01110001000100000001000000000000
22	6	0111001100110001001100010001000000110001000100000001000000000000	iiiiaa	17	Y	4	6	[]	iiiiaa	17	0111001100110001001100010001000000110001000100000001000000000000
23	6	0111010101010001010100010001000001010001000100000001000000000000	iiiiaa	17	Y	5	6	[]	iiiiaa	17	0111010101010001010100010001000001010001000100000001000000000000
24	6	0000100000000000000000000000000000001000000000000000000000000000	iiiaii	2	Y	0	5	[0]	iiaii	1	00001000000000000000000000000000
25	6	0000100000000000000010000000000000000000000000000000000000000000	iiiaii	2	Y	1	5	[1]	iiaii	1	00001000000000000000000000000000
26	6	0000100000001000000000000000000000000000000000000000000000000000	iiiaii	2	Y	2	5	[2]	iiaii	1	00001000000000000000000000000000
27	6	0000111000001000000010000000000000001000000000000000000000000000	iiiaii	6	Y	3	6	[]	iiiaii	6	0000111000001000000010000000000000001000000000000000000000000000
28	6	0000101000000000000000000000000000000000000000000000000000000000	iiiaii	2	Y	4	5	[4]	iiiai	1	00100000000000000000000000000000
29	6	0000110000000000000000000000000000000000000000000000000000000000	iiiaii	2	Y	5	5	[5]	iiiai	1	00100000000000000000000000000000
30	6	0100110100000100000001000000000001001101000001000000010000000000	iiiaia	12	Y	0	5	[0]	iiaia	6	01001101000001000000010000000000
31	6	0100110100000100010011010000010000000100000000000000010000000000	iiiaia	12	Y	1	5	[1]	iiaia	6	01001101000001000000010000000000
32	6	0100110101001101000001000000010000000100000001000000000000000000	iiiaia	12	Y	2	5	[2]	iiaia	6	01001101000001000000010000000000
33	6	0100111100001101000011010000010000001101000001000000010000000000	iiiaia	17	Y	3	6	[]	iiiaia	17	0100111100001101000011010000010000001101000001000000010000000000
34	6	0101111100000101000001010000000000000101000000000000000000000000	iiiaia	12	Y	4	5	[4]	iiiaa	6	01110001000100000001000000000000
35	6	0101110101000101010001010000010001000101000001000000010000000000	iiiaia	17	Y	5	6	[]	iiiaia	17	0101110101000101010001010000010001000101000001000000010000000000
36	6	0010101100000010000000100000000000101011000000100000001000000000	iiiaai	12	Y	0	5	[0]	iiaai	6	00101011000000100000001000000000
37	6	0010101100000010001010110000001000000010000000000000001000000000	iiiaai	12	Y	1	5	[1]	iiaai	6	00101011000000100000001000000000
38	6	0010101100101011000000100000001000000010000000100000000000000000	iiiaai	12	Y	2	5	[2]	iiaai	6	00101011000000100000001000000000
39	6	0010111100001011000010110000001000001011000000100000001000000000	iiiaai	17	Y	3	6	[]	iiiaai	17	0010111100001011000010110000001000001011000000100000001000000000
40	6	0011101100100011001000110000001000100011000000100000001000000000	iiiaai	17	Y	4	6	[]	iiiaai	17	0011101100100011001000110000001000100011000000100000001000000000
41	6	0011111100000011000000110000000000000011000000000000000000000000	iiiaai	12	Y	5	5	[5]	iiiaa	6	01110001000100000001000000000000
42	6	0111111100010111000101110000000101111111000101110001011100000001	iiiaaa	32	Y	0	5	[0]	iiaaa	16	01111111000101110001011100000001
43	6	0111111100010111011111110001011100010111000000010001011100000001	iiiaaa	32	Y	1	5	[1]	iiaaa	16	01111111000101110001011100000001
44	6	0111111101111111000101110001011100010111000101110000000100000001	iiiaaa	32	Y	2	5	[2]	iiaaa	16	01111111000101110001011100000001
45	6	0111111100011111000111110000011100011111000001110000011100000001	iiiaaa	32	Y	3	6	[]	iiiaaa	32	0111111100011111000111110000011100011111000001110000011100000001
46	6	0111111100110111001101110001001100110111000100110001001100000001	iiiaaa	32	Y	4	6	[]	iiiaaa	32	0111111100110111001101110001001100110111000100110001001100000001
47	6	0111111101010111010101110001010101010111000101010001010100000001	iiiaaa	32	Y	5	6	[]	iiiaaa	32	0111111101010111010101110001010101010111000101010001010100000001
48	6	0000000010000000000000000000000000000000100000000000000000000000	iiaiii	2	Y	0	5	[0]	iaiii	1	00000000100000000000000000000000
49	6	0000000010000000000000001000000000000000000000000000000000000000	iiaiii	2	Y	1	5	[1]	iaiii	1	00000000100000000000000000000000
50	6	0000000011101000000000001000000000000000100000000000000000000000	iiaiii	6	Y	2	6	[]	iiaiii	6	0000000011101000000000001000000000000000100000000000000000000000
51	6	0000000010001000000000000000000000000000000000000000000000000000	iiaiii	2	Y	3	5	[3]	iiaii	1	00001000000000000000000000000000
52	6	0000000010100000000000000000000000000000000000000000000000000000	iiaiii	2	Y	4	5	[4]	iiaii	1	00001000000000000000000000000000
53	6	0000000011000000000000000000000000000000000000000000000000000000	iiaiii	2	Y	5	5	[5]	iiaii	1	00001000000000000000000000000000
54	6	0100000011010100000000000100000001000000110101000000000001000000	iiaiia	12	Y	0	5	[0]	iaiia	6	01000000110101000000000001000000
55	6	0100000011010100010000001101010000000000010000000000000001000000	iiaiia	12	Y	1	5	[1]	iaiia	6	01000000110101000000000001000000
56	6	0100000011111101000000001101010000000000110101000000000001000000	iiaiia	17	Y	2	6	[]	iiaiia	17	0100000011111101000000001101010000000000110101000000000001000000
57	6	0100010011011101000000000100010000000000010001000000000000000000	iiaiia	12	Y	3	5	[3]	iiaia	6	01001101000001000000010000000000
58	6	0101000011110101000000000101000000000000010100000000000000000000	iiaiia	12	Y	4	5	[4]	iiaia	6	01001101000001000000010000000000
59	6	0101010011010101010000000101010001000000010101000000000001000000	iiaiia	17	Y	5	6	[]	iiaiia	17	0101010011010101010000000101010001000000010101000000000001000000
60	6	0010000010110010000000000010000000100000101100100000000000100000	iiaiai	12	Y	0	5	[0]	iaiai	6	00100000101100100000000000100000
61	6	0010000010110010001000001011001000000000001000000000000000100000	iiaiai	12	Y	1	5	[1]	iaiai	6	00100000101100100000000000100000
62	6	0010000011111011000000001011001000000000101100100000000000100000	iiaiai	17	Y	2	6	[]	iiaiai	17	0010000011111011000000001011001000000000101100100000000000100000
63	6	0010001010111011000000000010001000000000001000100000000000000000	iiaiai	12	Y	3	5	[3]	iiaai	6	00101011000000100000001000000000
64	6	0011001010110011001000000011001000100000001100100000000000100000	iiaiai	17	Y	4	6	[]	iiaiai	17	0011001010110011001000000011001000100000001100100000000000100000
65	6	0011000011110011000000000011000000000000001100000000000000000000	iiaiai	12	Y	5	5	[5]	iiaia	6	01001101000001000000010000000000
66	6	0111000111110111000100000111000101110001111101110001000001110001	iiaiaa	32	Y	0	5	[0]	iaiaa	16	01110001111101110001000001110001
67	6	0111000111110111011100011111011100010000011100010001000001110001	iiaiaa	32	Y	1	5	[1]	iaiaa	16	01110001111101110001000001110001
68	6	0111000111111111000100001111011100010000111101110000000001110001	iiaiaa	32	Y	2	6	[]	iiaiaa	32	0111000111111111000100001111011100010000111101110000000001110001
69	6	0111011111111111000100010111011100010001011101110000000000010001	iiaiaa	32	Y	3	5	[3]	iiaaa	16	01111111000101110001011100000001
70	6	0111001111110111001100010111001100110001011100110001000000110001	iiaiaa	32	Y	4	6	[]	iiaiaa	32	0111001111110111001100010111001100110001011100110001000000110001
71	6	0111010111110111010100010111010101010001011101010001000001010001	iiaiaa	32	Y	5	6	[]	iiaiaa	32	0111010111110111010100010111010101010001011101010001000001010001
72	6	0000100010001110000000000000100000001000100011100000000000001000	iiaaii	12	Y	0	5	[0]	iaaii	6	00001000100011100000000000001000
73	6	0000100010001110000010001000111000000000000010000000000000001000	iiaaii	12	Y	1	5	[1]	iaaii	6	00001000100011100000000000001000
74	6	0000100011101111000000001000111000000000100011100000000000001000	iiaaii	17	Y	2	6	[]	iiaaii	17	0000100011101111000000001000111000000000100011100000000000001000
75	6	0000111010001111000010000000111000001000000011100000000000001000	iiaaii	17	Y	3	6	[]	iiaaii	17	0000111010001111000010000000111000001000000011100000000000001000
76	6	0000101010101111000000000000101000000000000010100000000000000000	iiaaii	12	Y	4	5	[4]	iiaai	6	00101011000000100000001000000000
77	6	0000110011001111000000000000110000000000000011000000000000000000	iiaaii	12	Y	5	5	[5]	iiaai	6	00101011000000100000001000000000
78	6	0100110111011111000001000100110101001101110111110000010001001101	iiaaia	32	Y	0	5	[0]	iaaia	16	01001101110111110000010001001101
79	6	0100110111011111010011011101111100000100010011010000010001001101	iiaaia	32	Y	1	5	[1]	iaaia	16	01001101110111110000010001001101
