	k	BF	sign	bias	self_loop	self_loop_index	Real_k	ineff_inps	Real_sign	real_bias	EF_BF
0	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	0	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
1	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	1	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
2	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	2	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
3	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	3	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
4	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	4	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
5	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	5	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
6	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	6	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
7	8	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiii	0	Y	7	0	[0, 1, 2, 3, 4, 5, 6, 7]	constant	0	0
8	8	0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	0	7	[0]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9	8	0100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	1	7	[1]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10	8	0100000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	2	7	[2]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11	8	0100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	3	7	[3]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12	8	0100000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	4	7	[4]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
13	8	0100010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	5	7	[5]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
14	8	0101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	2	Y	6	7	[6]	iiiiiia	1	01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
15	8	0101010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	iiiiiiia	8	Y	7	8	[]	iiiiiiia	8	0101010001000000010000000000000001000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
