	Node	No. of inputs	EF	UF	NCF
1	v_Apoptosis	2	Yes	Yes	Yes
2	v_Differentiation	3	Yes	Yes	Yes
3	v_Proliferation	5	Yes	Yes	Yes
4	v_akt	1	Yes	Yes	Yes
5	v_arf	1	Yes	Yes	Yes
6	v_bcl2	2	Yes	Yes	Yes
7	v_ccnd1	2	Yes	Yes	Yes
8	v_cebpa	1	Yes	Yes	Yes
9	v_erk	1	Yes	Yes	Yes
10	v_etv6	1	Yes	Yes	Yes
11	v_fbxw7	1	Yes	Yes	Yes
12	v_gsk3b	1	Yes	Yes	Yes
13	v_hoxa9	1	Yes	Yes	Yes
14	v_meis1	2	Yes	Yes	Yes
15	v_myc	3	Yes	Yes	Yes
16	v_sox4	1	Yes	Yes	Yes
17	v_stat5a	1	Yes	Yes	Yes
18	v_tp53	1	Yes	Yes	Yes
19	v_npm1	1	Yes	Yes	Yes
20	v_flt3	1	Yes	Yes	Yes
21	v_dnmt3a	1	Yes	Yes	Yes
