from	to	sign
v_tp53	v_Apoptosis	a
v_bcl2	v_Apoptosis	i
v_etv6	v_Differentiation	a
v_meis1	v_Differentiation	i
v_cebpa	v_Differentiation	a
v_ccnd1	v_Proliferation	a
v_meis1	v_Proliferation	a
v_myc	v_Proliferation	a
v_sox4	v_Proliferation	a
v_stat5a	v_Proliferation	a
v_flt3	v_akt	a
v_npm1	v_arf	a
v_erk	v_bcl2	a
v_tp53	v_bcl2	i
v_gsk3b	v_ccnd1	i
v_dnmt3a	v_ccnd1	i
v_flt3	v_cebpa	i
v_flt3	v_erk	a
v_erk	v_etv6	i
v_npm1	v_fbxw7	a
v_akt	v_gsk3b	i
v_npm1	v_hoxa9	i
v_dnmt3a	v_meis1	i
v_hoxa9	v_meis1	a
v_erk	v_myc	a
v_fbxw7	v_myc	i
v_gsk3b	v_myc	i
v_cebpa	v_sox4	i
v_flt3	v_stat5a	a
v_arf	v_tp53	a
v_npm1	v_npm1	a
v_flt3	v_flt3	a
v_dnmt3a	v_dnmt3a	a
