	BF_as_int	k	avg_sen	bias
0	1	4	0.5	1
1	32767	4	0.5	15
2	19	4	1.0	3
3	14335	4	1.0	13
4	261	4	1.0	3
5	24447	4	1.0	13
6	21	4	1.0	3
7	22527	4	1.0	13
8	7	4	1.0	3
9	8191	4	1.0	13
10	273	4	1.0	3
11	30591	4	1.0	13
12	259	4	1.0	3
13	16255	4	1.0	13
14	341	4	1.25	5
15	21887	4	1.25	11
16	1287	4	1.25	5
17	8031	4	1.25	11
18	31	4	1.25	5
19	2047	4	1.25	11
20	1301	4	1.25	5
21	22367	4	1.25	11
22	87	4	1.25	5
23	5631	4	1.25	11
24	307	4	1.25	5
25	13183	4	1.25	11
26	55	4	1.25	5
27	5119	4	1.25	11
28	271	4	1.25	5
29	3967	4	1.25	11
30	775	4	1.25	5
31	7999	4	1.25	11
32	787	4	1.25	5
33	14143	4	1.25	11
34	4371	4	1.25	5
35	14199	4	1.25	11
36	4373	4	1.25	5
37	22391	4	1.25	11
38	1807	4	1.25	7
39	3871	4	1.25	9
40	4915	4	1.25	7
41	13111	4	1.25	9
42	5461	4	1.25	7
43	21847	4	1.25	9
44	127	4	1.25	7
45	511	4	1.25	9
