	nodename	pmid	model	k	BF as int	UF	EF	EUF	ThF	NCF	EThF	ising	bit_based
0	v_APAF1	18433497	1	1	1	True	True	True	True	True	True	True	True
1	v_APAF1_CYCS	18433497	1	2	1	True	True	True	True	True	True	False	False
2	v_APAF1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
3	v_ATF2	18433497	1	1	1	True	True	True	True	True	True	True	True
4	v_Apoptosis	18433497	1	4	32767	True	True	True	True	True	True	False	True
5	v_Apoptosome	18433497	1	2	1	True	True	True	True	True	True	False	False
6	v_BAD	18433497	1	1	1	True	True	True	True	True	True	True	True
7	v_BAG4	18433497	1	2	7	True	True	True	True	True	True	False	True
8	v_BAG4_TNFRSF1A	18433497	1	2	1	True	True	True	True	True	True	False	False
9	v_BAK1	18433497	1	1	1	True	True	True	True	True	True	True	True
10	v_BAK1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
11	v_BAX	18433497	1	1	1	True	True	True	True	True	True	True	True
12	v_BBC3gene	18433497	1	1	1	True	True	True	True	True	True	True	True
13	v_BCL2	18433497	1	1	1	True	True	True	True	True	True	True	True
14	v_BCL2A1	18433497	1	1	1	True	True	True	True	True	True	True	True
15	v_BCL2A1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
16	v_BCL2L1_BAD	18433497	1	2	1	True	True	True	True	True	True	False	False
17	v_BCL2L1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
18	v_BCL2L1mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
19	v_BCL2_BAX	18433497	1	2	1	True	True	True	True	True	True	False	False
20	v_BCL3	18433497	1	1	1	True	True	True	True	True	True	True	True
21	v_BCL3_NFKB2p52_NFKB2p52	18433497	1	2	1	True	True	True	True	True	True	False	False
22	v_BID	18433497	1	1	1	True	True	True	True	True	True	True	True
23	v_BIRC2	18433497	1	1	1	True	True	True	True	True	True	True	True
24	v_BIRC3gene	18433497	1	1	1	True	True	True	True	True	True	True	True
25	v_BIRC4cytoplasm	18433497	1	2	8	True	True	True	True	True	True	False	False
26	v_BIRC4gene	18433497	1	1	1	True	True	True	True	True	True	True	True
27	v_CASP1	18433497	1	2	1	True	True	True	True	True	True	False	False
28	v_CASP10	18433497	1	2	1	True	True	True	True	True	True	False	False
29	v_CASP2	18433497	1	2	1	True	True	True	True	True	True	False	False
30	v_CASP3cytoplasm	18433497	1	4	5461	True	True	True	True	True	True	False	False
31	v_CASP3gene	18433497	1	2	7	True	True	True	True	True	True	False	True
32	v_CASP3nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
33	v_CASP4	18433497	1	1	1	True	True	True	True	True	True	True	True
34	v_CASP6cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
35	v_CASP6nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
36	v_CASP7cytoplasm	18433497	1	4	127	True	True	True	True	True	True	False	False
37	v_CASP7nucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
38	v_CASP8	18433497	1	5	32767	True	True	True	True	True	True	False	False
39	v_CASP9	18433497	1	1	1	True	True	True	True	True	True	True	True
40	v_CBP	18433497	1	2	1	True	True	True	True	True	True	False	False
41	v_CCL5gene	18433497	1	1	1	True	True	True	True	True	True	True	True
42	v_CD40	18433497	1	1	1	True	True	True	True	True	True	True	True
43	v_CD40_CD40LG	18433497	1	2	1	True	True	True	True	True	True	False	False
44	v_CD40_CD40LG_TRAF3	18433497	1	2	1	True	True	True	True	True	True	False	False
45	v_CFLAR	18433497	1	1	1	True	True	True	True	True	True	True	True
46	v_CFLARgene	18433497	1	1	1	True	True	True	True	True	True	True	True
47	v_CHUK	18433497	1	1	1	True	True	True	True	True	True	True	True
48	v_CHUK_CHUK	18433497	1	2	1	True	True	True	True	True	True	False	False
49	v_CIITAgene	18433497	1	2	7	True	True	True	True	True	True	False	True
50	v_CKII	18433497	1	1	1	True	True	True	True	True	True	True	True
51	v_CREBBP	18433497	1	1	1	True	True	True	True	True	True	True	True
52	v_CXCL10gene	18433497	1	4	21887	True	True	True	True	True	True	False	False
53	v_CXCL11gene	18433497	1	1	1	True	True	True	True	True	True	True	True
54	v_CXCL9gene	18433497	1	1	1	True	True	True	True	True	True	True	True
55	v_CYBBgene	18433497	1	2	1	True	True	True	True	True	True	False	False
56	v_CYCScytoplasm	18433497	1	4	127	True	True	True	True	True	True	False	False
57	v_CYCSmytochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
58	v_Cell_Shrinkage	18433497	1	2	7	True	True	True	True	True	True	False	True
59	v_DAXX	18433497	1	1	1	True	True	True	True	True	True	True	True
60	v_DFFA	18433497	1	1	1	True	True	True	True	True	True	True	True
61	v_DIABLOcytoplasm	18433497	1	4	5461	True	True	True	True	True	True	False	False
62	v_DIABLOmitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
63	v_DNA	18433497	1	1	1	True	True	True	True	True	True	True	True
64	v_DNA_Fragmentation	18433497	1	2	7	True	True	True	True	True	True	False	True
65	v_Diacyl_Lipopeptides	18433497	1	1	1	True	True	True	True	True	True	True	True
66	v_EIF2AK2_PRKRA	18433497	1	2	1	True	True	True	True	True	True	False	False
67	v_EIF2AK2cytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
68	v_EIF2AK2gene	18433497	1	2	7	True	True	True	True	True	True	False	True
69	v_EIF2S1	18433497	1	1	1	True	True	True	True	True	True	True	True
70	v_ENDOGcytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
71	v_ENDOGmitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
72	v_ENDOGnucleus	18433497	1	1	1	True	True	True	True	True	True	True	True
73	v_EP300	18433497	1	1	1	True	True	True	True	True	True	True	True
74	v_FADD	18433497	1	1	1	True	True	True	True	True	True	True	True
75	v_FAF1	18433497	1	1	1	True	True	True	True	True	True	True	True
76	v_FAS	18433497	1	1	1	True	True	True	True	True	True	True	True
77	v_FASLG_FAS	18433497	1	2	1	True	True	True	True	True	True	False	False
78	v_FASLG_FAS_FADD_FAF1_DAXX	18433497	1	4	1	True	True	True	True	True	True	False	False
79	v_FASLG_FAS_FADD_FAF1_DAXX_CFLAR	18433497	1	2	1	True	True	True	True	True	True	False	False
80	v_FASLGgene	18433497	1	2	7	True	True	True	True	True	True	False	True
81	v_FASgene	18433497	1	1	1	True	True	True	True	True	True	True	True
82	v_Flagellin	18433497	1	1	1	True	True	True	True	True	True	True	True
83	v_Fragmented_DNAcytoplasm	18433497	1	1	1	True	True	True	True	True	True	True	True
84	v_Fragmented_DNAnucleus	18433497	1	3	21	True	True	True	True	True	True	False	False
85	v_G1P2gene	18433497	1	9	788694634062247234307296764184923607469040784507538128520129719894534548662695775856520267271648514934203446947489148700708629306704710321471877080416255	True	True	True	False	False	False	False	False
86	v_G1P3gene	18433497	1	1	1	True	True	True	True	True	True	True	True
87	v_GAS2	18433497	1	1	1	True	True	True	True	True	True	True	True
88	v_GBP1gene	18433497	1	2	7	True	True	True	True	True	True	False	True
89	v_HIST2H4gene	18433497	1	2	7	True	True	True	True	True	True	False	True
90	v_HLA_Bgene	18433497	1	1	1	True	True	True	True	True	True	True	True
91	v_HSPA1A	18433497	1	1	1	True	True	True	True	True	True	True	True
92	v_HTRA2cytoplasm	18433497	1	2	1	True	True	True	True	True	True	False	False
93	v_HTRA2mitochondria	18433497	1	1	1	True	True	True	True	True	True	True	True
94	v_ICAM1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
95	v_IDFFA	18433497	1	2	1	True	True	True	True	True	True	False	False
96	v_IER3gene	18433497	1	1	1	True	True	True	True	True	True	True	True
97	v_IFIT1gene	18433497	1	1	1	True	True	True	True	True	True	True	True
98	v_IFIT2gene	18433497	1	4	21887	True	True	True	True	True	True	False	False
99	v_IFNAR	18433497	1	6	19	True	True	True	True	True	True	False	False
100	v_IFNAR1	18433497	1	1	1	True	True	True	True	True	True	True	True
101	v_IFNAR2	18433497	1	1	1	True	True	True	True	True	True	True	True
102	v_IFNA_IFNA	18433497	1	1	1	True	True	True	True	True	True	True	True
103	v_IFNAgene	18433497	1	8	57896044618658097711785492504343953926634992332820282019728792003956564819967	True	True	True	True	True	True	False	True
104	v_IFNB1_IFNB1	18433497	1	1	1	True	True	True	True	True	True	True	True
105	v_IFNB1gene	18433497	1	5	2147483647	True	True	True	True	True	True	False	True
106	v_IFNGR	18433497	1	4	1	True	True	True	True	True	True	False	False
