node	GS_s1	GS_s2	GS_s3	GS_s4	GPS_s1	GPS_s2	GPS_s3	GPS_s4	GPS_s5	GPS_s6	GPS_s7	GPS_s8	GPS_s9	GPS_s10	GPS_s11	GPS_s12	GPS_s13	GPS_s14	GPS_s15	GPS_s16
v_AKT	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
v_CDH1_b1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_CDH1_b2	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0
v_DMRT1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v_ETV5	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_EZH2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
v_KLF4	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1
v_LIN28a	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_MET	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_NANOG	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_OCT4	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_OCT4SOX2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_PI3K	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
v_PRDM14	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1
v_SFK	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1
v_SMAD1_5	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1
v_SMAD1_5_4	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1
v_SMAD3	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
v_SOX2	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_STAT3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
v_TBX3	0	0	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
v_TET1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
v_TFAP2C	0	0	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1
v_TGFB	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1
v_BMP4	0	0	0	0	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1
v_GDNF	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	1	1	1	1
v_LIF	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
