Network_no	Model_no	func_type	model
0	0	scNCF	[1, 4278386466, 87, 1465868127, 1, 13, 43691, 1, 307, 2, 53215, 1]
1	0	scNCF	[11, 1, 340282366920938463449924044194672803839, 1, 13, 1, 49, 1, 247, 1, 248, 81]
2	0	scNCF	[3925912064, 18229723349036887244, 2, 2, 65276, 32768, 63728, 65448, 2, 2, 8, 2]
3	0	scNCF	[8, 1, 1, 2, 65528, 2, 11, 11, 13763056536337252352, 8, 13, 14]
4	0	scNCF	[1, 1, 1, 1795, 256, 19, 4, 1, 6094943, 2, 117, 1]
5	0	scNCF	[1, 1, 1, 4, 1, 171, 55, 1163263999, 11, 1, 1, 7]
6	0	scNCF	[14, 117, 1, 8, 14, 2, 3583, 3019846451, 1, 1, 8, 2]
7	0	scNCF	[1, 2, 224, 2, 2, 4272618154, 14, 236, 128, 174, 14, 2]
8	0	scNCF	[14, 128, 65228, 2, 2, 14, 14, 2, 2, 14, 340282366841710300966042115587277062144, 2]
9	0	scNCF	[1, 61162, 33619967, 168, 2, 2, 2, 2, 8, 2, 50, 11]
10	0	scNCF	[2, 1, 7, 13, 2, 1, 247, 858989312, 208, 62716, 1, 1]
11	0	scNCF	[11, 2, 4281597745, 1, 19, 8, 1, 47, 17361641480052076592, 57504, 2, 2]
12	0	scNCF	[1, 7, 1, 1, 2, 1, 1, 7, 112, 1301, 28927, 1]
13	0	scNCF	[2, 213, 64972, 8, 14, 1, 254, 340282366920526137904533649142676368042, 2, 2, 168, 14]
14	0	scNCF	[8, 140, 13, 224, 4294963119, 200, 61664, 4, 2, 7, 2, 14]
15	0	scNCF	[2, 14, 2, 2, 2, 4, 2, 14, 8, 14, 2, 168]
16	0	scNCF	[2, 14, 2, 2, 2, 2, 2, 4040224960, 8, 1, 8, 2]
17	0	scNCF	[1, 2, 8, 2, 14, 2, 253, 2, 32972, 2, 1, 1]
18	0	scNCF	[191, 1, 224, 1, 1, 2, 14, 167903232, 1, 11, 2, 2]
19	0	scNCF	[19, 1, 65024, 1, 128, 2, 1, 1, 2, 1, 2, 1]
20	0	scNCF	[4, 1, 7, 11, 1, 1, 1, 7, 55, 2, 1, 4160749567]
21	0	scNCF	[1, 3871, 7, 242, 87, 69, 79, 1, 1, 2, 7, 168]
22	0	scNCF	[1, 14, 40992, 2, 79, 40992, 2, 1, 1, 2, 61102, 8]
23	0	scNCF	[168, 2, 8, 14, 8, 8, 2, 8, 2, 2, 2, 63728]
24	0	scNCF	[2, 2, 11, 1, 1, 4227923456, 515, 2, 1, 1, 4915, 4371]
25	0	scNCF	[2, 2, 2, 1, 2, 191, 11, 11, 2, 2, 2, 8]
26	0	scNCF	[14, 234, 2, 4, 13, 2, 1, 93, 2, 1, 2, 61164]
27	0	scNCF	[7, 205, 2, 19, 1, 1, 8, 1, 1, 1, 1, 4]
28	0	scNCF	[8, 2, 18226341405939204095, 14, 236, 15663274, 1, 14, 200, 8, 14, 4283826004]
29	0	scNCF	[87, 1, 52429, 1, 7, 55, 1, 1, 2, 1, 127, 1]
30	0	scNCF	[224, 2, 234, 4294961834, 4293918668, 224, 43168, 254, 8, 2, 8, 8]
31	0	scNCF	[1, 2, 2, 14, 1, 2, 200, 236, 65528, 2, 3486305996, 84]
32	0	scNCF	[11, 1, 2, 2, 254, 8, 61422, 2, 2, 234, 208, 7]
