network_number	fro	to	sign
1	5	1	i
1	9	2	i
1	7	2	i
1	2	3	i
1	12	3	i
1	3	3	i
1	1	3	i
1	3	4	i
1	12	5	i
1	6	5	i
1	1	5	i
1	8	6	i
1	7	7	i
1	2	8	i
1	7	9	i
1	10	9	i
1	4	9	i
1	8	9	i
1	12	9	i
1	1	10	i
1	9	10	i
1	3	10	i
1	8	10	i
1	6	10	i
1	10	11	i
1	8	11	i
1	5	11	i
1	3	12	i
1	4	12	i
1	5	12	i
2	3	1	i
2	10	1	i
2	7	1	i
2	11	1	i
2	6	1	i
2	1	2	i
2	5	2	a
2	12	2	i
2	1	3	i
2	2	4	a
2	3	4	i
2	11	5	i
2	8	5	i
2	9	6	i
2	7	6	i
2	12	6	i
2	5	6	a
2	3	7	i
2	11	7	i
2	2	8	i
2	12	8	i
2	3	8	i
2	5	9	i
2	6	10	i
2	12	10	i
2	10	11	i
2	7	12	i
2	9	12	i
2	4	12	i
3	4	1	i
3	11	1	a
3	3	1	i
3	1	1	i
3	9	1	i
3	3	2	i
3	10	2	i
3	8	3	i
3	11	4	i
3	2	4	a
3	3	5	i
3	12	5	i
3	8	5	a
3	5	5	i
3	5	6	i
3	7	6	i
3	3	7	i
3	12	7	i
3	8	7	i
3	10	7	i
3	8	8	i
3	3	8	i
3	5	8	a
3	11	8	i
3	4	9	i
3	2	9	i
3	9	9	i
3	10	10	i
3	5	10	i
3	6	10	a
3	2	10	i
3	7	11	i
3	2	11	a
3	8	11	i
3	5	11	i
3	7	12	i
3	10	12	i
3	9	12	i
4	11	1	i
4	8	1	i
4	10	2	i
4	4	2	i
4	8	2	i
4	5	3	i
4	1	3	i
4	8	4	i
4	11	4	i
4	2	4	i
4	1	4	i
4	7	4	i
4	9	5	i
4	10	6	i
4	1	6	i
4	10	7	i
4	9	7	i
4	2	7	i
4	2	8	i
4	3	8	i
4	5	8	i
4	12	8	i
4	11	9	i
4	1	9	i
4	6	9	i
4	10	9	i
4	5	9	i
4	9	10	i
4	7	11	i
4	8	12	i
4	4	12	i
5	3	1	i
5	11	1	i
5	7	1	i
5	10	1	a
5	12	1	i
5	4	1	a
5	6	1	a
5	10	2	i
5	12	2	i
5	5	2	i
5	4	3	i
5	11	4	a
5	2	4	i
5	9	4	a
5	5	5	i
5	4	6	i
5	9	6	i
5	1	6	i
5	8	7	a
5	1	7	a
5	10	7	a
5	5	7	a
5	3	8	a
5	8	8	a
5	6	9	a
5	2	9	a
5	1	10	i
5	7	10	a
5	4	10	a
5	2	10	a
5	11	10	a
5	9	10	a
5	1	11	a
5	8	11	i
5	5	11	a
5	2	11	a
5	7	11	a
5	6	12	i
5	2	12	a
6	1	1	a
6	3	1	a
6	8	1	a
6	7	1	a
6	1	2	a
6	12	2	a
6	4	2	a
6	4	3	a
6	11	4	a
6	10	4	a
6	4	4	a
6	3	4	a
6	2	5	a
6	2	6	a
6	11	6	a
6	10	6	a
6	4	6	a
6	6	7	a
6	4	7	a
6	8	7	a
6	4	8	a
6	1	8	a
6	12	8	a
6	2	9	a
6	12	9	a
6	5	9	a
6	11	9	a
6	1	9	a
6	3	10	a
6	10	10	a
6	5	10	a
6	11	10	a
6	2	10	a
6	6	11	a
6	10	11	a
6	3	11	a
6	6	12	a
6	9	12	a
7	10	1	i
7	2	1	i
7	12	1	i
7	10	2	i
7	3	3	i
7	1	3	i
7	4	3	a
7	7	3	i
7	12	3	i
7	11	3	i
7	3	4	i
7	11	4	i
7	8	5	i
7	12	5	i
7	7	5	i
7	2	6	i
7	12	7	i
7	3	7	i
7	9	7	i
7	9	8	i
7	11	8	i
7	1	8	i
7	10	9	a
7	2	9	a
7	2	10	i
7	3	10	i
7	1	10	a
7	11	10	i
7	6	10	a
7	9	11	i
7	1	12	i
7	11	12	a
7	12	12	i
7	10	12	i
7	6	12	i
7	8	12	i
7	9	12	i
8	5	1	a
8	3	1	a
8	11	1	a
8	9	1	a
8	7	1	a
8	8	1	i
8	10	1	a
8	4	2	a
8	3	2	a
8	9	2	i
8	6	3	a
8	8	4	a
8	3	4	a
8	5	4	a
8	4	4	a
8	6	4	a
8	9	5	a
8	7	6	i
8	5	6	a
8	1	6	a
8	12	6	a
8	4	7	a
8	5	7	a
8	9	7	a
8	7	8	a
8	3	8	a
8	9	8	a
8	1	8	a
8	12	8	a
8	9	9	a
8	7	9	a
8	4	10	a
8	3	10	a
8	7	11	i
8	6	11	a
8	8	11	a
8	3	11	a
8	8	12	a
8	9	12	i
8	4	12	a
8	6	12	i
9	3	1	a
9	4	1	i
9	7	2	i
9	12	2	a
9	3	2	a
9	11	3	i
9	11	4	a
9	7	4	i
9	6	4	i
9	1	4	a
9	9	5	a
9	4	5	i
9	6	5	i
9	5	5	a
9	11	5	i
9	12	5	i
9	2	5	i
9	12	6	i
9	7	6	i
9	8	7	a
9	8	8	i
9	5	9	i
9	12	9	i
9	4	9	a
9	11	9	i
9	1	9	i
9	2	10	i
9	6	11	i
9	11	12	i
9	2	12	i
9	4	12	a
9	5	12	i
10	11	1	a
10	8	1	a
10	12	1	a
10	3	1	a
10	7	1	i
10	2	1	i
10	9	2	a
10	3	3	a
10	6	4	a
10	1	4	a
10	3	4	i
10	10	4	i
10	8	4	i
10	3	5	i
10	4	6	i
10	8	6	i
10	1	6	a
10	5	6	a
10	11	6	a
10	9	7	i
10	4	7	a
10	5	7	a
10	7	8	a
10	5	9	a
10	9	9	i
10	1	9	a
10	10	9	i
10	7	9	a
10	9	10	i
10	2	10	a
10	4	10	a
10	3	10	i
10	8	11	a
10	7	11	a
10	8	12	a
10	11	12	a
10	6	12	i
10	9	12	a
11	10	1	a
11	11	1	i
11	2	1	i
11	3	1	i
11	4	1	i
11	1	2	i
11	4	2	i
11	2	2	i
11	12	2	i
11	3	2	i
11	10	2	i
11	11	2	i
11	12	3	i
11	4	3	a
11	4	4	i
11	8	5	i
11	1	5	a
11	1	6	i
11	3	6	a
11	7	7	i
11	4	7	a
11	10	7	i
11	6	7	a
11	11	7	i
11	1	8	i
11	2	8	i
11	12	9	i
11	7	9	i
11	9	10	i
11	11	10	i
11	8	10	i
11	7	11	i
11	2	11	a
11	10	12	i
11	2	12	i
11	11	12	i
11	7	12	i
12	9	1	a
12	3	1	a
12	8	2	i
12	10	2	i
12	6	2	i
12	7	2	a
12	5	3	a
12	12	4	i
12	6	5	a
12	1	5	a
12	2	5	a
12	10	6	a
12	4	6	i
12	9	6	a
12	12	7	a
12	2	7	i
12	10	7	i
12	3	7	i
12	11	8	i
12	6	8	i
12	5	8	i
12	11	9	i
12	9	10	a
12	2	10	i
12	10	11	i
12	8	12	i
13	2	1	a
13	12	1	i
13	8	1	a
13	9	1	i
13	1	2	i
13	11	2	i
13	8	3	a
13	1	3	a
13	11	3	i
13	6	3	i
13	5	3	a
13	3	4	i
13	7	4	i
13	11	5	i
13	2	5	i
13	8	5	i
13	12	5	i
13	1	5	a
13	5	6	i
13	3	6	i
13	12	6	a
13	1	6	i
13	7	6	a
13	12	7	a
13	5	7	i
13	7	7	a
13	4	7	i
13	6	7	i
13	10	7	a
13	4	8	i
13	6	9	a
13	5	10	a
13	7	10	a
13	2	10	i
13	9	11	i
13	2	11	i
13	7	12	a
13	2	12	i
13	4	12	i
13	10	12	i
13	6	12	i
14	8	1	a
14	12	1	a
14	7	2	a
14	3	2	a
14	4	2	a
14	1	3	a
14	12	3	a
14	10	3	a
14	11	3	a
14	3	3	a
14	9	4	a
14	1	4	a
14	6	5	a
14	5	5	a
14	4	6	a
14	6	6	a
14	5	6	a
14	2	6	i
14	5	7	a
14	5	8	i
14	3	8	a
14	2	8	i
14	6	8	a
14	12	9	a
14	2	9	i
14	3	9	i
14	4	9	a
14	11	9	a
14	6	9	a
14	8	10	a
14	1	10	i
14	3	10	a
14	7	10	a
14	12	10	a
14	3	11	i
14	11	11	a
14	6	11	a
14	10	11	a
14	8	11	a
14	5	11	a
14	4	12	i
14	12	12	a
14	5	12	a
15	3	1	a
15	7	1	a
15	2	1	a
15	5	1	a
15	8	1	a
15	1	2	a
15	12	2	a
15	5	3	a
15	6	3	i
15	3	4	a
15	6	4	a
15	6	5	a
15	9	5	a
15	5	6	a
15	8	6	a
15	11	6	a
15	2	6	a
15	6	6	a
15	11	7	a
15	8	7	a
15	6	7	a
15	2	8	a
15	11	8	a
15	6	9	a
15	2	9	a
15	9	9	a
15	2	10	a
15	6	10	a
15	1	10	a
15	11	10	a
